billboard_id,track_id,Track Name,Artist Name(s),Release Date,Duration (ms),Explicit,Genres,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2016-01-001,4sPmO7WMQUAf45kwMOtONw,hello,adele,2016-06-24,295493,false,soft pop,0.481,0.451,-6.095,0,0.0347,0.336,0,0.0872,0.289,157.966,4
2016-01-002,09CtPGIpYB4BrO8qb1RGsF,sorry,justin bieber,2015-11-13,200786,false,,0.655,0.76,-3.669,0,0.045,0.0797,0,0.299,0.409,99.947,4
2016-01-003,0wwPcA6wtMf6HUMpIRdeP7,hotline bling,drake,2016-05-06,267066,false,rap,0.891,0.628,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966,4
2016-01-004,50kpGaPAhYJ3sGmk6vplg0,love yourself,justin bieber,2015-11-13,233720,false,,0.609,0.378,-9.828,1,0.438,0.835,0,0.28,0.515,100.43,4
2016-01-005,4B0JvthVoAAuygILe3n4Bs,what do you mean?,justin bieber,2015-11-13,205680,false,,0.845,0.567,-8.118,0,0.0956,0.59,0.00142,0.0811,0.793,125.02,4
2016-01-006,1BZG99C7Co1r6QUC3zaS59,same old love,selena gomez,2015-10-09,229080,false,,0.672,0.593,-4.01,0,0.0304,0.0223,0,0.214,0.438,98.02,4
2016-01-007,7fBv7CLKzipRk6EC6TWHOB,the hills,the weeknd,2015-08-28,242253,true,,0.585,0.564,-7.063,0,0.0515,0.0671,0,0.135,0.137,113.003,4
2016-01-008,1wYZZtamWTQAoj8B812uKQ,here,alessia cara,2015-11-13,199453,false,,0.376,0.821,-3.974,1,0.104,0.0785,0,0.0823,0.331,120.462,4
2016-01-009,5jsw9uXEGuKyJzs0boZ1bT,stitches,shawn mendes,2015-04-14,206880,false,,0.752,0.754,-6.684,1,0.0615,0.0151,0,0.0486,0.755,149.789,4
2016-01-012,25KybV9BOUlvcnv7nN3Pyo,in the night,the weeknd,2015-08-28,235653,true,,0.505,0.68,-4.993,1,0.0714,0.0796,0,0.0465,0.539,168.022,3
2016-01-013,27GmP9AWRs744SzKcpJsTZ,jumpman,drake;future,2015-09-20,205879,true,rap,0.852,0.553,-7.286,1,0.187,0.0559,0,0.332,0.656,142.079,4
2016-01-014,6YAuDfyjCy0vbKIqa71o8v,on my mind,ellie goulding,2015-11-06,213445,false,,0.702,0.705,-6.666,1,0.0543,0.258,0.00000593,0.0879,0.743,154.911,4
2016-01-015,22VdIZQfgXJea34mQxlt81,can't feel my face,the weeknd,2015-08-28,213520,false,,0.705,0.769,-5.526,0,0.0425,0.113,0,0.105,0.583,107.949,4
2016-01-016,1wHZx0LgzFHyeIZkUydNXq,antidote,travis scott,2015-09-04,262693,true,rap,0.714,0.527,-5.046,1,0.0322,0.00787,0.00015,0.124,0.123,131.046,4
2016-01-017,70eDxAyAraNTiD6lx2ZEnH,ex's & oh's,elle king,2015-02-13,202177,false,,0.612,0.921,-2.882,1,0.085,0.0183,0,0.0576,0.446,139.988,4
2016-01-018,0bYg9bo50gSsH3LtXe2SQn,all i want for christmas is you,mariah carey,1994-10-28,241562,false,christmas,0.336,0.627,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
2016-01-019,3CRDbSIZ4r5MsZ0YwxuEkn,stressed out,twenty one pilots,2015-05-15,202333,false,,0.734,0.637,-5.677,0,0.141,0.0462,0.0000229,0.0602,0.648,169.977,4
