billboard_id,artists,track_name
2016-01-010,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
2016-01-011,Fetty Wap Featuring Remy Boyz,679
2016-01-024,Jordan Smith,Mary Did You Know
2016-01-027,Silento,Watch Me
2016-01-029,Cam,Burning House
2016-01-030,Demi Lovato,Confident
2016-01-033,Ariana Grande,Focus
2016-01-034,Sam Hunt,Break Up In A Small Town
2016-01-035,Future Featuring Drake,Where Ya At
2016-01-036,J. Cole,No Role Modelz
2016-01-037,R. City Featuring Adam Levine,Locked Away
2016-01-039,Skrillex & Diplo With Justin Bieber,Where Are U Now
2016-01-042,Wiz Khalifa Featuring Charlie Puth,See You Again
2016-01-045,Fetty Wap,Again
2016-01-049,OMI,Cheerleader
2016-01-052,iLoveMemphis,Hit The Quan
2016-01-053,DeJ Loaf Featuring Big Sean,Back Up
2016-01-054,Missy Elliott Featuring Pharrell Williams,WTF (Where They From)
2016-01-056,Emily Ann Roberts,Burning House
2016-01-057,Yo Gotti Featuring Nicki Minaj,Down In The DM
2016-01-058,Brothers Osborne,Stay A Little Longer
2016-01-059,Justin Bieber,I'll Show You
2016-01-061,Luke Bryan Featuring Karen Fairchild,Home Alone Tonight
2016-01-063,Blake Shelton,Gonna
2016-01-065,Nelly Featuring Jeremih,The Fix
2016-01-066,Jason Aldean,Gonna Know We Were Here
2016-01-067,Gwen Stefani,Used To Love You
2016-01-068,DLOW,Do It Like Me
2016-01-069,Cole Swindell,You Should Be Here
2016-01-070,Drake & Future,Big Rings
2016-01-071,Jana Kramer,I Got The Boy
2016-01-072,Jordan Smith,Climb Every Mountain
2016-01-073,LOCASH,I Love This Life
2016-01-075,Rudimental Featuring Ed Sheeran,Lay It All On Me
2016-01-076,Tim McGraw,Top Of The World
2016-01-077,Rachel Platten,Stand By You
2016-01-078,Young Thug,Best Friend
2016-01-079,Fall Out Boy,Irresistible
2016-01-080,Halsey,New Americana
2016-01-081,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money
2016-01-082,Justin Bieber Featuring Halsey,The Feeling
2016-01-083,Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase
2016-01-084,Rae Sremmurd,Come Get Her
2016-01-085,Dan + Shay,Nothin' Like You
2016-01-086,Andy Grammer,Good To Be Alive (Hallelujah)
2016-01-087,Kelsea Ballerini,Dibs
2016-01-088,Luke Bryan,Strip It Down
2016-01-089,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",Downtown
2016-01-090,Jordan Smith & Adam Levine,God Only Knows
2016-01-091,Granger Smith,Backroad Song
2016-01-092,Dawin,Dessert
2016-01-093,Big Sean Featuring Chris Brown & Ty Dolla $ign,Play No Games
2016-01-094,Drake,Right Hand
2016-01-095,Bryson Tiller,Sorry Not Sorry
2016-01-096,Zac Brown Band,Beautiful Drug
2016-01-097,Carrie Underwood,Smoke Break
2016-01-098,Tori Kelly,Hollow
2016-01-099,Jordan Smith,Somebody To Love
2016-01-100,Justin Bieber,Purpose
2016-02-011,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose You
