billboard_id,artists,track_name
2022-01-006,Andy Williams,It's The Most Wonderful Time Of The Year
2022-01-008,Jose Feliciano,Feliz Navidad
2022-01-009,The Kid LAROI & Justin Bieber,Stay
2022-01-010,The Ronettes,Sleigh Ride
2022-01-011,Nat King Cole,The Christmas Song (Merry Christmas To You)
2022-01-012,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
2022-01-013,Kelly Clarkson,Underneath The Tree
2022-01-014,Lil Durk Featuring Morgan Wallen,Broadway Girls
2022-01-016,Darlene Love,Christmas (Baby Please Come Home)
2022-01-017,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
2022-01-018,Ariana Grande,Santa Tell Me
2022-01-019,Gene Autry,Rudolph The Red-Nosed Reindeer
2022-01-020,Andy Williams,Happy Holiday / The Holiday Season
2022-01-021,Bing Crosby,White Christmas
2022-01-022,Lil Nas X & Jack Harlow,Industry Baby
2022-01-025,Chuck Berry,Run Rudolph Run
2022-01-027,GAYLE,abcdefu
2022-01-028,Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959)
2022-01-029,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
2022-01-030,Michael Buble,It's Beginning To Look A Lot Like Christmas
2022-01-033,Frank Sinatra,Jingle Bells
2022-01-034,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2022-01-035,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby
2022-01-036,Paul McCartney,Wonderful Christmastime
2022-01-037,Vince Guaraldi Trio,Linus And Lucy (Peanuts Theme)
2022-01-040,Eagles,Please Come Home For Christmas
2022-01-041,Jackson 5,Santa Claus Is Comin' To Town
2022-01-043,The Beach Boys,Little Saint Nick
2022-01-044,Justin Bieber,Mistletoe
2022-01-046,Nat King Cole,Deck The Halls
2022-01-047,Michael Buble,Have Yourself A Merry Little Christmas
2022-01-048,Vince Guaraldi Trio,Christmastime Is Here
2022-01-050,Post Malone & The Weeknd,One Right Now
2022-01-053,Drake Featuring 21 Savage & Project Pat,Knife Talk
2022-01-054,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,Thinking 'Bout You
2022-01-055,Ed Sheeran & Elton John,Merry Christmas
2022-01-056,NEIKED X Mae Muller X Polo G,Better Days
2022-01-058,Drake Featuring Future & Young Thug,Way 2 Sexy
2022-01-062,Taylor Swift,Christmas Tree Farm (Old Timey Version)
2022-01-063,Dan + Shay,Pick Out A Christmas Tree
2022-01-064,Michael Ray,Whiskey And Rain
2022-01-065,Drake Featuring Lil Baby,Girls Want Girls
2022-01-067,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
2022-01-068,Taylor Swift,All Too Well (Taylor's Version)
2022-01-070,Imagine Dragons X JID,Enemy
2022-01-071,Camila Cabello,I'll Be Home For Christmas
2022-01-072,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
2022-01-074,Juice WRLD,Burn
2022-01-075,Chloe,Have Mercy
2022-01-077,Roddy Ricch,25 Million
2022-01-078,Rod Wave,By Your Side
2022-01-079,Kelly Clarkson,Christmas Isn't Canceled (Just You)
2022-01-080,Giveon,For Tonight
2022-01-081,Oliver Tree,Life Goes On
2022-01-083,Parker McCollum,To Be Loved By You
2022-01-084,Coldplay x BTS,My Universe
2022-01-085,Roddy Ricch Featuring Lil Baby,Moved To Miami
2022-01-086,Jimmie Allen & Brad Paisley,Freedom Was A Highway
2022-01-087,Juice WRLD & Justin Bieber,Wandered To LA.
2022-01-088,Juice WRLD,Already Dead
2022-01-089,Jon Pardi,Tequila Little Time
2022-01-090,Moneybagg Yo,Scorpio
2022-01-091,Roddy Ricch Featuring Kodak Black & 21 Savage,Hibachi
2022-01-092,Eric Church,Heart On Fire
2022-01-093,Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault)
2022-01-094,Zac Brown Band,Same Boat
2022-01-095,Roddy Ricch,Thailand
2022-01-096,Young Thug With Drake & Travis Scott,Bubbly
2022-01-097,Acraze Featuring Cherish,Do It To It
2022-01-098,Summer Walker & SZA,No Love
2022-01-099,Kenny Chesney,Knowing You
2022-01-100,Baby Keem & Kendrick Lamar,Family Ties
2022-02-004,The Kid LAROI & Justin Bieber,Stay
2022-02-007,Gunna & Future Featuring Young Thug,Pushin P
2022-02-008,GAYLE,abcdefu
2022-02-010,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
2022-02-014,Lil Nas X & Jack Harlow,Industry Baby
2022-02-016,Muni Long,Hrs And Hrs
2022-02-019,The Weeknd & Ariana Grande,Save Your Tears
2022-02-020,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal
2022-02-023,Post Malone & The Weeknd,One Right Now
2022-02-024,NEIKED X Mae Muller X Polo G,Better Days
2022-02-027,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?
2022-02-032,Drake Featuring 21 Savage & Project Pat,Knife Talk
2022-02-034,Wizkid Featuring Justin Bieber & Tems,Essence
2022-02-035,Doja Cat Featuring SZA,Kiss Me More
2022-02-036,Sebastian Yatra,Dos Oruguitas
