billboard_id,artists,track_name
2025-01-005,Ariana Grande,Santa Tell Me
2025-01-007,Andy Williams,It's The Most Wonderful Time Of The Year
2025-01-008,Dean Martin,Let It Snow! Let It Snow! Let It Snow!
2025-01-009,Kelly Clarkson,Underneath The Tree
2025-01-010,"Nat ""King"" Cole",The Christmas Song (Merry Christmas To You)
2025-01-011,Jose Feliciano,Feliz Navidad
2025-01-012,Michael Buble,It's Beginning To Look A Lot Like Christmas
2025-01-013,The Ronettes,Sleigh Ride
2025-01-014,Chuck Berry,Run Rudolph Run
2025-01-015,Darlene Love,Christmas (Baby Please Come Home)
2025-01-016,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
2025-01-018,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,Jingle Bells
2025-01-019,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,White Christmas (1947)
2025-01-020,Nat King Cole,Deck The Halls
2025-01-021,Elvis Presley,Blue Christmas
2025-01-022,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby
2025-01-023,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
2025-01-025,The Beach Boys,Little Saint Nick
2025-01-026,Paul McCartney,Wonderful Christmastime
2025-01-027,Kendrick Lamar & SZA,Luther
2025-01-029,Eagles,Please Come Home For Christmas
2025-01-030,Gene Autry & The Pinafores,Rudolph The Red-Nosed Reindeer
2025-01-031,Vince Guaraldi Trio,Christmastime Is Here
2025-01-032,Kendrick Lamar Featuring Lefty Gunplay,TV Off
2025-01-033,Gracie Abrams,That's So True
2025-01-034,ROSE & Bruno Mars,APT.
2025-01-035,Donny Hathaway,This Christmas
2025-01-036,Dean Martin,Baby It's Cold Outside
2025-01-037,Michael Buble,Holly Jolly Christmas
2025-01-038,Ed Sheeran & Elton John,Merry Christmas
2025-01-039,Jonas Brothers,Like It's Christmas
2025-01-040,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2025-01-042,Justin Bieber,Mistletoe
2025-01-043,Sia,Snowman
2025-01-045,SZA With Kendrick Lamar,30 For 30
2025-01-047,Post Malone Featuring Morgan Wallen,I Had Some Help
2025-01-048,Darlene Love,Winter Wonderland
2025-01-049,Andy Williams,Happy Holiday / The Holiday Season
2025-01-050,Gwen Stefani Featuring Blake Shelton,You Make It Feel Like Christmas
2025-01-051,The Weeknd & Playboi Carti,Timeless
2025-01-052,"Tyler, The Creator feat. GloRilla, Sexyy Red & Lil Wayne",Sticky
2025-01-054,GloRilla & Sexyy Red,Whatchu Kno About Me
2025-01-056,Laufey,Christmas Magic
2025-01-057,Koe Wetzel & Jessie Murph,High Road
2025-01-059,SZA,Drive
2025-01-062,SZA,Diamond Boy (DTM)
2025-01-063,SZA,Scorsese Baby Daddy
2025-01-064,SZA,What Do I Do
2025-01-065,Tucker Wetmore,Wind Up Missin' You
2025-01-066,"Tyler, The Creator Featuring Lola Young",Like Him
2025-01-069,SZA,No More Hiding
2025-01-070,SZA,Crybaby
2025-01-071,SZA,Kitchen
2025-01-073,SZA,Another Life
2025-01-075,Cynthia Erivo Featuring Ariana Grande,Defying Gravity
2025-01-076,Tate McRae,It's Ok I'm Ok
2025-01-077,Sam Barber Featuring Avery Anna,Indigo
2025-01-078,Mark Ambor,Run Rudolph Run
2025-01-079,SZA,Love Me 4 Me
2025-01-080,SZA,Chill Baby
2025-01-081,SZA,My Turn
2025-01-082,Kendrick Lamar Featuring Dody6,Hey Now
2025-01-083,Rauw Alejandro & Bad Bunny,Que Pasaria...
2025-01-086,Real Boston Richey,Help Me
2025-01-088,Kesha,Holiday Road
2025-01-089,Laufey,Santa Baby
2025-01-090,Kendrick Lamar,Wacced Out Murals
2025-01-091,The Weeknd,Dancing In The Flames
2025-01-092,Juice WRLD,Empty Out Your Pockets
2025-01-094,Lainey Wilson,4x4xU
2025-01-096,Tito Double P & Peso Pluma,Dos Dias
2025-01-097,Rod Wave,25
2025-01-098,Ariana Grande,Popular
2025-01-099,Chris Stapleton,Think I'm In Love With You
2025-01-100,Kendrick Lamar Featuring AzChike,Peekaboo
2025-02-003,ROSE & Bruno Mars,APT.
2025-02-005,Kendrick Lamar & SZA,Luther
2025-02-008,Gracie Abrams,That's So True
2025-02-012,Post Malone Featuring Morgan Wallen,I Had Some Help
2025-02-013,Kendrick Lamar Featuring Lefty Gunplay,TV Off
2025-02-017,The Weeknd & Playboi Carti,Timeless
2025-02-019,"Tyler, The Creator Featuring GloRilla,  Sexyy Red & Lil Wayne",Sticky
2025-02-023,SZA With Kendrick Lamar,30 For 30
2025-02-026,Bad Bunny,Voy A Llevarte Pa PR
2025-02-028,Koe Wetzel & Jessie Murph,High Road
2025-02-032,GloRilla & Sexyy Red,Whatchu Kno About Me
2025-02-034,"Bad Bunny, Dei V & Omar Courtz",VeLDÁ
2025-02-036,Bad Bunny,EL ClúB
2025-02-038,GELO,Tweaker
2025-02-039,Bad Bunny & Chuwi,Weltita
2025-02-044,Bad Bunny & RaiNao,Perfumito Nuevo
2025-02-047,Tucker Wetmore,Wind Up Missin' You
2025-02-049,Sam Barber Featuring Avery Anna,Indigo
2025-02-050,Bad Bunny,Kloufrens
2025-02-052,Lainey Wilson,4x4xU
2025-02-053,Bad Bunny,Ketu Tecre
2025-02-054,Tyler &  The Creator Featuring Lola Young,Like Him
2025-02-055,Rauw Alejandro & Bad Bunny,Que Pasaria...
2025-02-058,Bad Bunny & Los Pleneros de La Cresta,Cafe Con Ron
2025-02-059,Bad Bunny,Bokete
2025-02-061,Bad Bunny,Turista
2025-02-063,Chris Stapleton,Think I'm In Love With You
2025-02-064,Jordan Davis,I Ain't Sayin'
2025-02-065,Bad Bunny,Pitorro de Coco
2025-02-066,Bad Bunny,La Mudanza
2025-02-067,Post Malone Featuring Luke Combs,Guy For That
2025-02-069,Future & Lil Baby & Young Thug,"Dum, Dumb, and Dumber"
2025-02-071,Addison Rae,Diet Pepsi
2025-02-073,Bad Bunny,Lo Que Le Paso A Hawaii
2025-02-074,Teddy Swims & GIVEON,Are You Even Real
2025-02-075,Real Boston Richey,Help Me
2025-02-076,Tito Double P,Rosones
2025-02-077,Mac Miller,Funny Papers
2025-02-078,Tito Double P,Nadie
2025-02-079,Kendrick Lamar Featuring AzChike,Peekaboo
2025-02-080,Cynthia Erivo Featuring Ariana Grande,Defying Gravity
2025-02-081,Tito Double P & Peso Pluma,Dos Dias
2025-02-082,BigXthaPlug,The Largest
2025-02-083,Alex Warren,Burning Down
2025-02-084,CHRYSTAL,The Days
2025-02-085,Mac Miller,5 Dollar Pony Rides
2025-02-086,Rauw Alejandro & Romeo Santos,Khe?
2025-02-087,Tate McRae,It's Ok I'm Ok
2025-02-088,Tyla,Push 2 Start
2025-02-089,SZA,Scorsese Baby Daddy
2025-02-090,Kendrick Lamar Featuring Dody6,Hey Now
2025-02-091,Dylan Marlowe & Dylan Scott,Boys Back Home
2025-02-092,Central Cee Featuring 21 Savage,GBP
2025-02-093,Alphaville & Ava Max & David Guetta,Forever Young
2025-02-094,Ariana Grande,Popular
2025-02-095,Mac Miller Featuring SZA,DJ's Chord Organ
2025-02-096,Rod Wave,25
2025-02-097,Mac Miller,Stoned
2025-02-098,Imogen Heap,Headlock
2025-02-099,Lil Baby Featuring Travis Scott,Stuff
2025-02-100,The Red Clay Strays,Wondering Why
2025-03-001,Kendrick Lamar & SZA,Luther
2025-03-004,Kendrick Lamar Featuring Lefty Gunplay,TV Off
2025-03-006,Drake,Gimme A Hug
2025-03-007,ROSE & Bruno Mars,APT.
2025-03-014,SZA With Kendrick Lamar,30 For 30
2025-03-015,Kendrick Lamar & SZA,All The Stars
2025-03-016,Gracie Abrams,That's So True
2025-03-018,PARTYNEXTDOOR & Drake,CN Tower
