billboard_id,artists,track_name
2023-01-006,Andy Williams,It's The Most Wonderful Time Of The Year
2023-01-007,Jose Feliciano,Feliz Navidad
2023-01-009,Nat King Cole,The Christmas Song (Merry Christmas To You)
2023-01-010,Sam Smith & Kim Petras,Unholy
2023-01-012,Ariana Grande,Santa Tell Me
2023-01-013,The Ronettes,Sleigh Ride
2023-01-014,Kelly Clarkson,Underneath The Tree
2023-01-015,Darlene Love,Christmas (Baby Please Come Home)
2023-01-016,Bing Crosby,White Christmas
2023-01-017,Nat King Cole,Deck The Halls
2023-01-018,Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
2023-01-020,Frank Sinatra,Jingle Bells
2023-01-022,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
2023-01-023,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas
2023-01-024,Elvis Presley,Blue Christmas
2023-01-025,Michael Buble,It's Beginning To Look A Lot Like Christmas
2023-01-026,The Weeknd,Die For You
2023-01-027,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
2023-01-028,Gene Autry,Rudolph The Red-Nosed Reindeer
2023-01-029,The Beach Boys,Little Saint Nick
2023-01-032,Chuck Berry,Run Rudolph Run
2023-01-033,Paul McCartney,Wonderful Christmastime
2023-01-034,Jackson 5,Santa Claus Is Comin' To Town
2023-01-035,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2023-01-036,Eartha Kitt With Henri Rene And His Orchestra,Santa Baby
2023-01-037,Donny Hathaway,This Christmas
2023-01-038,Beyonce,Cuff It
2023-01-040,Andy Williams,Happy Holiday / The Holiday Season
2023-01-041,Perry Como With Mitchell Ayers And His Orchestra,(There's No Place Like) Home For The Holidays (1959)
2023-01-043,Eagles,Please Come Home For Christmas
2023-01-044,Ed Sheeran & Elton John,Merry Christmas
2023-01-047,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over)
2023-01-048,Michael Buble,Have Yourself A Merry Little Christmas
2023-01-050,Vince Guaraldi Trio,Christmastime Is Here
2023-01-054,GloRilla & Cardi B,Tomorrow 2
2023-01-055,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
2023-01-057,Rihanna,Lift Me Up
2023-01-060,Lizzo,Someday At Christmas
2023-01-062,Nengo Flow & Bad Bunny,Gato de Noche
2023-01-063,Jax,Victoria's Secret
2023-01-065,SZA,Low
2023-01-066,Jelly Roll,Son Of A Sinner
2023-01-067,SZA,Blind
2023-01-072,Lauren Spencer-Smith,Last Christmas
2023-01-073,Kane Brown,Blue Christmas
2023-01-075,RAYE Featuring 070 Shake,Escapism
2023-01-076,Kelly Clarkson & Ariana Grande,"Santa, Can't You Hear Me"
2023-01-077,SZA,Love Language
2023-01-078,Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem)
2023-01-079,Rema & Selena Gomez,Calm Down
2023-01-080,Nate Smith,Whiskey On You
2023-01-081,SZA,Seek & Destroy
2023-01-082,Elton John & Britney Spears,Hold Me Closer
2023-01-083,Carin Leon X Grupo Frontera,Que Vuelvas
2023-01-084,Metro Boomin Featuring Don Toliver & Future,Too Many Nights
2023-01-086,SZA Featuring Don Toliver,Used
2023-01-087,d4vd,Romantic Homicide
2023-01-088,Drake & 21 Savage,Circo Loco
2023-01-089,SZA Featuring Phoebe Bridgers,Ghost In The Machine
2023-01-090,Jimmie Allen,Down Home
2023-01-092,SZA,Special
2023-01-093,Grupo Frontera,No Se Va
2023-01-094,Pentatonix Featuring Meghan Trainor,Kid On Christmas
2023-01-096,Gabby Barrett,Pick Me Up
2023-01-097,SZA,SOS
2023-01-098,Lewis Capaldi,Forget Me
2023-01-099,Arcangel & Bad Bunny,La Jumpa
2023-01-100,SZA,Gone Girl
2023-02-004,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
2023-02-005,Sam Smith & Kim Petras,Unholy
2023-02-007,The Weeknd,Die For You
2023-02-013,Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53"
2023-02-015,Beyonce,Cuff It
2023-02-021,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
2023-02-022,RAYE Featuring 070 Shake,Escapism
2023-02-024,Post Malone Featuring Doja Cat,I Like You (A Happier Song)
2023-02-028,Rema & Selena Gomez,Calm Down
2023-02-034,Future Featuring Drake & Tems,Wait For U
2023-02-037,GloRilla & Cardi B,Tomorrow 2
2023-02-043,Sia,Unstoppable
2023-02-044,Rihanna,Lift Me Up
2023-02-046,Nate Smith,Whiskey On You
2023-02-047,SZA,Low
2023-02-050,Doja Cat,Vegas
2023-02-051,Carin Leon X Grupo Frontera,Que Vuelvas
2023-02-052,Trippie Redd & Juice WRLD,Knight Crawler
2023-02-055,Carly Pearce,What He Didn't Do
2023-02-056,Sabrina Carpenter,Nonsense
2023-02-057,SZA,Blind
2023-02-058,Lewis Capaldi,Forget Me
2023-02-060,d4vd,Here With Me
2023-02-062,Lil Baby,Freestyle
2023-02-063,Tory Lanez,The Color Violet
2023-02-064,HARDY Featuring Morgan Wallen,Red
2023-02-065,Grupo Frontera,No Se Va
2023-02-067,SZA,Love Language
2023-02-068,Rosa Linn,Snap
2023-02-069,Manuel Turizo,La Bachata
2023-02-070,Future,Love You Better
2023-02-071,Metro Boomin Featuring Don Toliver & Future,Too Many Nights
2023-02-072,Tiesto Featuring Tate McRae,10:35
2023-02-074,Thomas Rhett Featuring Riley Green,Half Of Me
2023-02-075,Arcangel & Bad Bunny,La Jumpa
2023-02-076,Hotel Ugly,Shut Up My Moms Calling
2023-02-077,Brett Young,You Didn't
2023-02-078,Drake & 21 Savage,Circo Loco
2023-02-079,NewJeans,OMG
2023-02-080,Lil Nas X,Star Walkin' (League Of Legends Worlds Anthem)
2023-02-081,Kali Uchis,I Wish You Roses
2023-02-082,Ice Spice & Lil Tjay,Gangsta Boo
2023-02-083,Mac DeMarco,Heart To Heart
2023-02-084,TWICE,Moonlight Sunrise
2023-02-085,Nengo Flow & Bad Bunny,Gato de Noche
2023-02-086,"Trippie Redd, Future & Lil Baby",Fully Loaded
2023-02-087,SZA,Seek & Destroy
2023-02-088,Jason Aldean,That's What Tequila Does
2023-02-089,NewJeans,Ditto
2023-02-090,Trippie Redd & Travis Scott,Krzy Train
2023-02-092,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
2023-02-093,SZA Featuring Phoebe Bridgers,Ghost In The Machine
2023-02-094,Lil Baby,California Breeze
2023-02-095,Cody Johnson,Human
2023-02-096,NLE Choppa & 2Rare,Do It Again
2023-02-097,Oliver Tree & Robin Schulz,Miss You
2023-02-098,Finesse2Tymes,Back End
2023-02-099,SZA Featuring Travis Scott,Open Arms
2023-02-100,ThxSoMch,Spit In My Face!
2023-03-003,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
2023-03-004,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
2023-03-006,The Weeknd & Ariana Grande,Die For You
2023-03-007,Sam Smith & Kim Petras,Unholy
2023-03-009,Beyonce,Cuff It
2023-03-019,Rema & Selena Gomez,Calm Down
2023-03-023,RAYE Featuring 070 Shake,Escapism
2023-03-025,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
2023-03-034,Superstar Pride,Painting Pictures
2023-03-035,Future Featuring Drake & Tems,Wait For U
2023-03-037,Post Malone Featuring Doja Cat,I Like You (A Happier Song)
2023-03-040,Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53"
2023-03-043,Zach Bryan Featuring Maggie Rogers,Dawns
2023-03-046,GloRilla & Cardi B,Tomorrow 2
2023-03-049,NF,Hope
2023-03-050,Sia,Unstoppable
2023-03-052,Rihanna,Lift Me Up
2023-03-053,Carly Pearce,What He Didn't Do
2023-03-054,The Kid LAROI,Love Again
2023-03-055,Lizzo Featuring SZA,Special
2023-03-056,Carin Leon X Grupo Frontera,Que Vuelvas
2023-03-062,Lil Uzi Vert,Watch This (ARIZONATEARS Pluggnb Remix)
2023-03-063,Niall Horan,Heaven
2023-03-064,Lil Baby,Freestyle
2023-03-065,SZA,Low
2023-03-068,Ice Spice,In Ha Mood
2023-03-069,Polo G & Future,No Time Wasted
2023-03-070,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
2023-03-071,Brett Young,You Didn't
2023-03-072,Sabrina Carpenter,Nonsense
2023-03-073,Tiesto Featuring Tate McRae,10:35
2023-03-074,Linkin Park,Lost
2023-03-075,Lizzy McAlpine,Ceilings
2023-03-076,"Metro Boomin, Travis Scott & Young Thug",Trance
2023-03-077,Jason Aldean,That's What Tequila Does
2023-03-078,d4vd,Here With Me
2023-03-082,Grupo Frontera,No Se Va
2023-03-083,Latto Featuring LU KALA,Lottery
2023-03-084,Tory Lanez,The Color Violet
2023-03-085,Cody Johnson,Human
2023-03-086,Future,Love You Better
2023-03-087,Tyler Hubbard,Dancin' In The Country
2023-03-088,Ozuna Featuring Feid,Hey Mor
2023-03-089,NewJeans,OMG
2023-03-090,Yandel & Feid,Yandel 150
2023-03-091,Karol G x Romeo Santos,X Si Volvemos
2023-03-092,Metro Boomin Featuring Don Toliver & Future,Too Many Nights
2023-03-093,SZA,Blind
2023-03-094,P!nk,Trustfall
2023-03-095,NLE Choppa & 2Rare,Do It Again
2023-03-096,NLE Choppa,Slut Me Out
2023-03-097,Arcangel & Bad Bunny,La Jumpa
2023-03-098,Hotel Ugly,Shut Up My Moms Calling
2023-03-099,Dierks Bentley,Gold
2023-03-100,Finesse2Tymes,Back End
2023-04-004,"Metro Boomin, The Weeknd & 21 Savage",Creepin'
2023-04-005,The Weeknd & Ariana Grande,Die For You
2023-04-006,PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
2023-04-008,Rema & Selena Gomez,Calm Down
2023-04-012,Taylor Swift,All Of The Girls You Loved Before
2023-04-018,Sam Smith & Kim Petras,Unholy
2023-04-020,Morgan Wallen,Thinkin' Bout Me
2023-04-024,RAYE Featuring 070 Shake,Escapism
2023-04-030,Jimin,"Set Me Free, Pt. 2"
2023-04-031,Beyonce,Cuff It
2023-04-034,"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
2023-04-037,Carly Pearce,What He Didn't Do
2023-04-039,Morgan Wallen,Ain't That Some
2023-04-045,Luke Combs,5 Leaf Clover
2023-04-047,Nicki Minaj,Red Ruby Da Sleeze
2023-04-048,Superstar Pride,Painting Pictures
2023-04-051,Morgan Wallen Featuring Eric Church,Man Made A Bar
2023-04-053,Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53"
2023-04-054,Morgan Wallen Featuring ERNEST,Cowgirls
2023-04-056,Lizzy McAlpine,Ceilings
2023-04-059,Miley Cyrus,River
2023-04-060,Ice Spice,In Ha Mood
2023-04-061,Morgan Wallen,'98 Braves
2023-04-062,Morgan Wallen,Sunrise
2023-04-063,Lizzo Featuring SZA,Special
2023-04-064,Lil Baby,Freestyle
2023-04-065,The Kid LAROI,Love Again
2023-04-066,"Metro Boomin, Travis Scott & Young Thug",Trance
2023-04-067,Hozier,Eat Your Young
2023-04-069,Sabrina Carpenter,Nonsense
2023-04-070,"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
2023-04-071,Yandel & Feid,Yandel 150
2023-04-075,Lil Uzi Vert,Watch This (ARIZONATEARS Pluggnb Remix)
2023-04-076,Zach Bryan Featuring Maggie Rogers,Dawns
2023-04-077,Yng Lvcas x Peso Pluma,La Bebe
2023-04-078,Carin Leon X Grupo Frontera,Que Vuelvas
2023-04-079,Morgan Wallen,Dying Man
2023-04-080,Morgan Wallen,Whiskey Friends
2023-04-081,SZA,Low
2023-04-082,Niall Horan,Heaven
2023-04-083,Tyler Hubbard,Dancin' In The Country
2023-04-084,Chino Pacas,El Gordo Trae El Mando
2023-04-085,Tiesto Featuring Tate McRae,10:35
2023-04-086,Morgan Wallen,Devil Don't Know
2023-04-087,Eladio Carrion & Bad Bunny,Coco Chanel
2023-04-088,Coco Jones,ICU
2023-04-089,Brett Young,You Didn't
2023-04-090,Morgan Wallen,Neon Star (Country Boy Lullaby)
2023-04-091,Cody Johnson,Human
2023-04-092,Kali Uchis,Moonlight
2023-04-093,Dierks Bentley,Gold
