billboard_id,artists,track_name
2018-01-003,Camila Cabello Featuring Young Thug,Havana
2018-01-007,"Migos, Nicki Minaj & Cardi B",MotorSport
2018-01-010,Cardi B,Bodak Yellow (Money Moves)
2018-01-011,Kendrick Lamar Featuring Zacari,Love.
2018-01-014,Cardi B Featuring 21 Savage,Bartier Cardi
2018-01-021,Maroon 5 Featuring SZA,What Lovers Do
2018-01-022,Gucci Mane Featuring Migos,I Get The Bag
2018-01-024,G-Eazy & Halsey,Him & I
2018-01-026,Bebe Rexha & Florida Georgia Line,Meant To Be
2018-01-030,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
2018-01-032,J Balvin & Willy William Featuring Beyonce,Mi Gente
2018-01-033,SZA,The Weekend
2018-01-035,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes
2018-01-038,Andy Williams,It's The Most Wonderful Time Of The Year
2018-01-040,Taylor Swift Featuring Ed Sheeran & Future,End Game
2018-01-041,Miguel Featuring Travis Scott,Sky Walker
2018-01-042,Nat King Cole,The Christmas Song (Merry Christmas To You)
2018-01-043,Eminem Featuring Ed Sheeran,River
2018-01-044,Marshmello Featuring Khalid,Silence
2018-01-049,N*E*R*D & Rihanna,Lemon
2018-01-050,Post Malone,Candy Paint
2018-01-051,Kodak Black Featuring XXXTENTACION,Roll In Peace
2018-01-052,Ozuna x Cardi B,La Modelo
2018-01-053,Offset & Metro Boomin,Ric Flair Drip
2018-01-055,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go
2018-01-056,Brett Young,Like I Loved You
2018-01-057,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles
2018-01-058,LANCO,Greatest Love Story
2018-01-059,YBN Nahmir,Rubbin Off The Paint
2018-01-060,Macklemore Featuring Kesha,Good Old Days
2018-01-061,Taylor Swift,...Ready For It?
2018-01-062,Russell Dickerson,Yours
2018-01-063,Blake Shelton,I'll Name The Dogs
2018-01-064,Tay-K,The Race
2018-01-065,Huncho Jack Featuring Takeoff,Eye 2 Eye
2018-01-067,6ix9ine,Kooda
2018-01-068,Huncho Jack,Modern Slavery
2018-01-069,Imagine Dragons + Khalid,Thunder/Young Dumb & Broke (Medley)
2018-01-070,Kodak Black Featuring Lil Wayne,Codeine Dreaming
2018-01-071,Huncho Jack,Black & Chinese
2018-01-072,Eric Church,Round Here Buzz
2018-01-073,Luke Bryan,Light It Up
2018-01-074,Luis Fonsi & Demi Lovato,Echame La Culpa
2018-01-075,Lil Xan,Betrayed
2018-01-076,Chris Young,Losing Sleep
2018-01-077,YoungBoy Never Broke Again,No Smoke
2018-01-078,Demi Lovato,Tell Me You Love Me
2018-01-079,Walker Hayes,You Broke Up With Me
2018-01-080,Quavo & Lil Yachty,Ice Tray
2018-01-081,Maren Morris,I Could Use A Love Song
2018-01-082,BTS Featuring Desiigner,MIC Drop
2018-01-083,Huncho Jack Featuring Offset,Dubai Shit
2018-01-084,Lil Baby,My Dawg
2018-01-085,Famous Dex Featuring A$AP Rocky,Pick It Up
2018-01-086,Old Dominion,Written In The Sand
2018-01-087,Huncho Jack,Huncho Jack
2018-01-088,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush
2018-01-089,Scotty McCreery,Five More Minutes
2018-01-090,Huncho Jack,Motorcycle Patches
2018-01-091,Becky G Featuring Bad Bunny,Mayores
2018-01-092,Huncho Jack,Saint
2018-01-093,Eminem Featuring Beyonce,Walk On Water
2018-01-095,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home
2018-01-096,XXXTENTACION Featuring Trippie Redd,F**k Love
2018-01-097,Kelsea Ballerini,Legends
2018-01-098,Niall Horan,Too Much To Ask
2018-01-099,Zayn Featuring Sia,Dusk Till Dawn
2018-01-100,Yo Gotti,Juice
2018-02-003,Camila Cabello Featuring Young Thug,Havana
2018-02-005,Bruno Mars & Cardi B,Finesse
2018-02-007,Drake,Diplomatic Immunity
2018-02-011,"Migos, Nicki Minaj & Cardi B",MotorSport
2018-02-012,Bebe Rexha & Florida Georgia Line,Meant To Be
2018-02-015,Kendrick Lamar Featuring Zacari,Love.
2018-02-016,G-Eazy & Halsey,Him & I
2018-02-020,Cardi B Featuring 21 Savage,Bartier Cardi
2018-02-023,Cardi B,Bodak Yellow (Money Moves)
2018-02-024,Gucci Mane Featuring Migos,I Get The Bag
2018-02-029,Miguel Featuring Travis Scott,Sky Walker
2018-02-030,Taylor Swift Featuring Ed Sheeran & Future,End Game
2018-02-031,Kodak Black Featuring XXXTENTACION,Roll In Peace
2018-02-033,Justin Timberlake,Filthy
2018-02-034,Eminem Featuring Ed Sheeran,River
2018-02-039,Offset & Metro Boomin,Ric Flair Drip
2018-02-040,N*E*R*D & Rihanna,Lemon
2018-02-041,Maroon 5 Featuring SZA,What Lovers Do
2018-02-042,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes
2018-02-043,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE
2018-02-044,J Balvin & Willy William Featuring Beyonce,Mi Gente
2018-02-045,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go
2018-02-049,Russell Dickerson,Yours
2018-02-053,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles
2018-02-054,Kendrick Lamar & SZA,All The Stars
2018-02-055,Macklemore Featuring Kesha,Good Old Days
2018-02-057,Lil Skies Featuring Landon Cube,Nowadays
2018-02-058,Famous Dex Featuring A$AP Rocky,Pick It Up
2018-02-059,LANCO,Greatest Love Story
2018-02-060,Old Dominion,Written In The Sand
2018-02-061,YoungBoy Never Broke Again,No Smoke
2018-02-062,Chris Young,Losing Sleep
2018-02-063,Brett Young,Like I Loved You
2018-02-064,Scotty McCreery,Five More Minutes
2018-02-065,The Chainsmokers,Sick Boy
2018-02-066,Keala Settle & The Greatest Showman Ensemble,This Is Me
2018-02-068,Luis Fonsi & Demi Lovato,Echame La Culpa
2018-02-069,YBN Nahmir,Rubbin Off The Paint
2018-02-070,Walker Hayes,You Broke Up With Me
2018-02-071,Justin Timberlake,Supplies
