billboard_id,track_id
2023-01-001,0bYg9bo50gSsH3LtXe2SQn
2023-01-002,2EjXfH91m7f8HiJN1yQg97
2023-01-003,3hBXvHLlTHvnbwrPbeoyAj
2023-01-004,6wn2nmFn3wDuiMldRiuRuL
2023-01-005,65Q2mv3UlVi9eO70OpsmSe
2023-01-006,5hslUAKq9I9CG2bAulFkHN
2023-01-007,0oPdaY4dXtc3ZsaG17V972
2023-01-009,4PS1e8f2LvuTFgUs1Cn3ON
2023-01-012,0lizgQ7Qw35od7CYaoMBZb
2023-01-013,5ASM6Qjiav2xPe7gRkQMsQ
2023-01-014,3YZE5qDV7u1ZD1gZc47ZeR
2023-01-015,2DomOAEa6ghF8BzOES61tK
2023-01-016,4so0Wek9Ig1p6CRCHuINwW
2023-01-017,2I5xeRHcOIA20a6B9RJSS0
2023-01-018,2uFaJJtFpPDc5Pa95XzTvg
2023-01-020,4KV9bM7a1KDc7b7OakFZic
2023-01-023,2pXpURmn6zC5ZYDMms6fwa
2023-01-024,3QiAAp20rPC3dcAtKtMaqQ
2023-01-025,5a1iz510sv2W9Dt1MvFd5R
2023-01-026,2Ch7LmS7r2Gy2kc64wv3Bz
2023-01-027,25leEEaz1gIpp7o21Fqyjo
2023-01-029,5xlS0QkVrSH7ssEbBgBzbM
2023-01-032,2pnPe4pJtq7689i5ydzvJJ
2023-01-033,1SV1fxF65n9NhRHp3KlBuu
2023-01-034,2QpN1ZVw8eJO5f7WcvUA1k
2023-01-035,4qP2V09IpTct5A1ZSnr1zh
2023-01-037,38xhBO2AKrJnjdjVnhJES6
2023-01-040,3sDdyBHQ60Cs1opmIyRvhp
2023-01-043,3QIoEi8Enr9uHffwInGIsC
2023-01-047,3zJw3rugfpVrmBeDDnUYzy
2023-01-048,37UhuyGwWHgS1dhTePiJBy
2023-02-007,2Ch7LmS7r2Gy2kc64wv3Bz
2023-02-039,0JXXNGljqupsJaZsgSbMZV
2023-03-028,0JXXNGljqupsJaZsgSbMZV
2023-04-023,0JXXNGljqupsJaZsgSbMZV
2023-04-059,6aVeSCobcOjIkMFARN9B7l
2023-05-015,0JXXNGljqupsJaZsgSbMZV
2023-05-052,2JzZzZUQj3Qff7wapcbKjc
2023-05-059,5m0yZ33oOy0yYBtdTXuxQe
2023-06-013,0JXXNGljqupsJaZsgSbMZV
2023-06-049,1BxfuPKGuaTgP7aM0Bbdwr
2023-06-052,2JzZzZUQj3Qff7wapcbKjc
2023-06-074,5m0yZ33oOy0yYBtdTXuxQe
2023-07-011,0JXXNGljqupsJaZsgSbMZV
2023-07-018,1BxfuPKGuaTgP7aM0Bbdwr
2023-07-070,2JzZzZUQj3Qff7wapcbKjc
2023-08-006,1BxfuPKGuaTgP7aM0Bbdwr
2023-08-019,0JXXNGljqupsJaZsgSbMZV
2023-08-045,1HS7P1v50YmX12LCEmlF0F
2023-08-079,2JzZzZUQj3Qff7wapcbKjc
2023-08-089,7fIr7lHRG565wcEHWiCXLo
2023-09-004,1BxfuPKGuaTgP7aM0Bbdwr
2023-09-074,1HS7P1v50YmX12LCEmlF0F
2023-09-084,2JzZzZUQj3Qff7wapcbKjc
2023-10-004,1BxfuPKGuaTgP7aM0Bbdwr
2023-11-001,1BxfuPKGuaTgP7aM0Bbdwr
2023-12-002,1BxfuPKGuaTgP7aM0Bbdwr
2023-12-004,0bYg9bo50gSsH3LtXe2SQn
2023-12-008,2EjXfH91m7f8HiJN1yQg97
2023-12-012,3hBXvHLlTHvnbwrPbeoyAj
2023-12-013,6wn2nmFn3wDuiMldRiuRuL
2023-12-016,65Q2mv3UlVi9eO70OpsmSe
2023-12-028,5hslUAKq9I9CG2bAulFkHN
2023-12-035,2uFaJJtFpPDc5Pa95XzTvg
2023-12-039,0oPdaY4dXtc3ZsaG17V972
2023-12-042,3YZE5qDV7u1ZD1gZc47ZeR
2023-12-043,4PS1e8f2LvuTFgUs1Cn3ON
2023-12-046,5ASM6Qjiav2xPe7gRkQMsQ
2023-12-048,0lizgQ7Qw35od7CYaoMBZb
2023-12-091,2xAbbmHBTPmMzpKjk6afdE
2023-01-008,0V3wPSX9ygBnCm8psDIegu
2023-01-011,3OHfY25tqY28d16oZczHc8
2023-01-019,2qrbWN43itLlX3eSdKzXVL
2023-01-021,1bDbXMyjaUIooNwFE9wn0N
2023-01-030,1R7TwnwF1RuYNf5vXlpQUT
2023-01-031,4LRPiXqCikLlN15c3yImP7
2023-01-039,5IgjP7X4th6nMNDh4akUHb
2023-01-042,3WMj8moIAXJhHsyLaqIIHI
2023-01-045,0QHEIqNKsMoOY5urbzN48u
2023-01-046,5uU1uuyaUIBOiiUSQG7Wl3
2023-01-049,5odlY52u43F5BjByhxg7wg
2023-01-051,5ihZarJQzsvrLE7R9zjwTq
2023-01-052,2wSTnntOPRi7aQneobFtU4
2023-01-053,4Ls53fBNVfaXTROBi6X8Hw
2023-01-056,1brnLTvarI9D1hLP6z2Ar8
2023-01-058,0T5iIrXA4p5GsubkhuBIKV
2023-01-059,5Y35SjAfXjjG0sFQ3KOxmm
2023-01-061,4686eQ81DEswHa90bcdlC9
2023-01-064,5jQI2r1RdgtuT8S3iG8zFC
2023-01-068,6vjZxvzdAeHp7jv3R398Xm
2023-01-069,49GYvCcvMQq1SY3f7Y347h
2023-01-070,67AdiJcurlf6gocGobfaXs
2023-01-071,5DIBVDJOHh7djepAjKHWCO
2023-01-074,4iZ4pt7kvcaH6Yo8UoZ4s2
2023-01-085,2ZL7WZcjuYKi1KUDtp4kCC
2023-01-091,0IKeDy5bT9G0bA7ZixRT4A
2023-01-095,1rXq0uoV4KTgRN64jXzIxo
2023-02-001,7DSAEUvxU8FajXtRloy8M0
2023-02-002,3OHfY25tqY28d16oZczHc8
2023-02-003,0V3wPSX9ygBnCm8psDIegu
2023-02-006,2qrbWN43itLlX3eSdKzXVL
2023-02-008,1bDbXMyjaUIooNwFE9wn0N
2023-02-009,4LRPiXqCikLlN15c3yImP7
2023-02-010,5odlY52u43F5BjByhxg7wg
2023-02-011,3WMj8moIAXJhHsyLaqIIHI
2023-02-012,4Ls53fBNVfaXTROBi6X8Hw
2023-02-014,0QHEIqNKsMoOY5urbzN48u
2023-02-016,5IgjP7X4th6nMNDh4akUHb
2023-02-017,1R7TwnwF1RuYNf5vXlpQUT
2023-02-018,1brnLTvarI9D1hLP6z2Ar8
2023-02-019,4686eQ81DEswHa90bcdlC9
2023-02-020,5uU1uuyaUIBOiiUSQG7Wl3
2023-02-023,49GYvCcvMQq1SY3f7Y347h
2023-02-025,67AdiJcurlf6gocGobfaXs
2023-02-026,2wSTnntOPRi7aQneobFtU4
2023-02-027,3Qu3Zh4WTKhP9GEXo0aDnb
2023-02-029,0T5iIrXA4p5GsubkhuBIKV
2023-02-030,5jQI2r1RdgtuT8S3iG8zFC
2023-02-031,4iZ4pt7kvcaH6Yo8UoZ4s2
2023-02-032,0IKeDy5bT9G0bA7ZixRT4A
2023-02-033,5DIBVDJOHh7djepAjKHWCO
2023-02-035,28n8z9IQKyjMPxmvYMBqZa
2023-02-036,5ihZarJQzsvrLE7R9zjwTq
2023-02-038,5Y35SjAfXjjG0sFQ3KOxmm
2023-02-040,6vjZxvzdAeHp7jv3R398Xm
2023-02-041,200x8ONbPfFzByUr3fVz46
2023-02-042,4h4QlmocP3IuwYEj2j14p8
2023-02-045,4h9wh7iOZ0GGn8QVp4RAOB
2023-02-048,4a3D8glGZxhlJfOs1Czc3c
2023-02-049,755xVrgyHyUpl9EP5e4ICf
2023-02-053,6DLbBlGIOjjEj0dNN25zhZ
2023-02-054,11BKm0j4eYoCPPpCONAVwA
2023-02-059,4reXo2zg1uhEIpUAacDb9C
2023-02-061,3kXH9BQq0TyNliiP1MIE6N
2023-02-066,2ZL7WZcjuYKi1KUDtp4kCC
2023-02-073,1rXq0uoV4KTgRN64jXzIxo
2023-02-091,39OclE5hZematADrdfaWvE
2023-03-001,7DSAEUvxU8FajXtRloy8M0
2023-03-002,3OHfY25tqY28d16oZczHc8
2023-03-005,7K3BhSpAxZBznislvUMVtn
2023-03-008,0V3wPSX9ygBnCm8psDIegu
2023-03-010,2qrbWN43itLlX3eSdKzXVL
2023-03-011,4Ls53fBNVfaXTROBi6X8Hw
2023-03-012,4LRPiXqCikLlN15c3yImP7
2023-03-013,1brnLTvarI9D1hLP6z2Ar8
2023-03-014,1bDbXMyjaUIooNwFE9wn0N
2023-03-015,3Qu3Zh4WTKhP9GEXo0aDnb
2023-03-016,4686eQ81DEswHa90bcdlC9
2023-03-017,755xVrgyHyUpl9EP5e4ICf
2023-03-018,5IgjP7X4th6nMNDh4akUHb
2023-03-020,5uU1uuyaUIBOiiUSQG7Wl3
2023-03-021,0QHEIqNKsMoOY5urbzN48u
2023-03-022,5jQI2r1RdgtuT8S3iG8zFC
2023-03-024,67AdiJcurlf6gocGobfaXs
2023-03-026,3WMj8moIAXJhHsyLaqIIHI
2023-03-027,5odlY52u43F5BjByhxg7wg
2023-03-029,5DIBVDJOHh7djepAjKHWCO
2023-03-030,1R7TwnwF1RuYNf5vXlpQUT
2023-03-031,0T5iIrXA4p5GsubkhuBIKV
2023-03-032,2wSTnntOPRi7aQneobFtU4
2023-03-033,4iZ4pt7kvcaH6Yo8UoZ4s2
2023-03-036,28n8z9IQKyjMPxmvYMBqZa
2023-03-038,2kYevr8cbIAH2ha8210Bnz
2023-03-039,0IKeDy5bT9G0bA7ZixRT4A
2023-03-041,49GYvCcvMQq1SY3f7Y347h
2023-03-042,200x8ONbPfFzByUr3fVz46
2023-03-044,6vjZxvzdAeHp7jv3R398Xm
2023-03-045,4a3D8glGZxhlJfOs1Czc3c
2023-03-047,11BKm0j4eYoCPPpCONAVwA
2023-03-048,5Y35SjAfXjjG0sFQ3KOxmm
2023-03-051,1SRw5p2lVAi7RGlHEmZg66
2023-03-057,2ZL7WZcjuYKi1KUDtp4kCC
2023-03-058,4reXo2zg1uhEIpUAacDb9C
2023-03-059,3kXH9BQq0TyNliiP1MIE6N
2023-03-060,1rXq0uoV4KTgRN64jXzIxo
2023-03-061,7phmBo7bB9I9YifAXqnlqV
2023-03-066,6DLbBlGIOjjEj0dNN25zhZ
2023-03-067,39OclE5hZematADrdfaWvE
2023-03-079,0cNSq9T5l8gZnpY14rsTR2
2023-03-080,03fs6oV5JAlbytRYf3371S
2023-03-081,3qjKqmA2YeH0a8DRoKj8iy
2023-04-001,7DSAEUvxU8FajXtRloy8M0
2023-04-002,7K3BhSpAxZBznislvUMVtn
2023-04-003,3OHfY25tqY28d16oZczHc8
2023-04-007,0V3wPSX9ygBnCm8psDIegu
2023-04-009,755xVrgyHyUpl9EP5e4ICf
2023-04-010,4686eQ81DEswHa90bcdlC9
2023-04-011,3Qu3Zh4WTKhP9GEXo0aDnb
2023-04-013,5uU1uuyaUIBOiiUSQG7Wl3
2023-04-014,5IgjP7X4th6nMNDh4akUHb
2023-04-015,4LRPiXqCikLlN15c3yImP7
2023-04-016,2qrbWN43itLlX3eSdKzXVL
2023-04-017,5jQI2r1RdgtuT8S3iG8zFC
2023-04-019,4Ls53fBNVfaXTROBi6X8Hw
2023-04-021,1SRw5p2lVAi7RGlHEmZg66
2023-04-022,0DWdj2oZMBFSzRsi2Cvfzf
2023-04-025,1rXq0uoV4KTgRN64jXzIxo
2023-04-026,3qQbCzHBycnDpGskqOWY0E
2023-04-027,1bDbXMyjaUIooNwFE9wn0N
2023-04-028,1brnLTvarI9D1hLP6z2Ar8
2023-04-029,0T5iIrXA4p5GsubkhuBIKV
2023-04-032,67AdiJcurlf6gocGobfaXs
2023-04-033,3WMj8moIAXJhHsyLaqIIHI
2023-04-035,5DIBVDJOHh7djepAjKHWCO
2023-04-036,4iZ4pt7kvcaH6Yo8UoZ4s2
2023-04-038,03fs6oV5JAlbytRYf3371S
2023-04-040,2ZL7WZcjuYKi1KUDtp4kCC
2023-04-041,11BKm0j4eYoCPPpCONAVwA
2023-04-042,5odlY52u43F5BjByhxg7wg
2023-04-043,49GYvCcvMQq1SY3f7Y347h
2023-04-044,2wSTnntOPRi7aQneobFtU4
2023-04-046,7phmBo7bB9I9YifAXqnlqV
2023-04-049,2kYevr8cbIAH2ha8210Bnz
2023-04-050,0IKeDy5bT9G0bA7ZixRT4A
2023-04-052,5Y35SjAfXjjG0sFQ3KOxmm
2023-04-055,39OclE5hZematADrdfaWvE
2023-04-057,3kXH9BQq0TyNliiP1MIE6N
2023-04-058,4reXo2zg1uhEIpUAacDb9C
2023-04-068,6DLbBlGIOjjEj0dNN25zhZ
2023-04-072,2VzCjpKvPB1l1tqLndtAQa
2023-04-073,0cNSq9T5l8gZnpY14rsTR2
2023-04-074,3qjKqmA2YeH0a8DRoKj8iy
2023-05-001,7K3BhSpAxZBznislvUMVtn
2023-05-002,3OHfY25tqY28d16oZczHc8
2023-05-003,7DSAEUvxU8FajXtRloy8M0
2023-05-004,3qQbCzHBycnDpGskqOWY0E
2023-05-005,2yzshFeBIwH8tWIqHEFLeD
2023-05-010,0V3wPSX9ygBnCm8psDIegu
2023-05-012,7aRCf5cLOFN1U7kvtChY1G
2023-05-013,1SRw5p2lVAi7RGlHEmZg66
2023-05-014,1Lo0QY9cvc8sUB2vnIOxDT
2023-05-016,755xVrgyHyUpl9EP5e4ICf
2023-05-017,4686eQ81DEswHa90bcdlC9
2023-05-019,5uU1uuyaUIBOiiUSQG7Wl3
2023-05-020,4LRPiXqCikLlN15c3yImP7
2023-05-021,7jvtmQ3onpWeUm7dyFSSSc
2023-05-022,1rXq0uoV4KTgRN64jXzIxo
2023-05-024,3Qu3Zh4WTKhP9GEXo0aDnb
2023-05-025,2qrbWN43itLlX3eSdKzXVL
2023-05-026,3WMj8moIAXJhHsyLaqIIHI
2023-05-027,1brnLTvarI9D1hLP6z2Ar8
2023-05-028,2VzCjpKvPB1l1tqLndtAQa
2023-05-031,5IgjP7X4th6nMNDh4akUHb
2023-05-033,0cNSq9T5l8gZnpY14rsTR2
2023-05-035,5jQI2r1RdgtuT8S3iG8zFC
2023-05-036,4reXo2zg1uhEIpUAacDb9C
2023-05-038,4iZ4pt7kvcaH6Yo8UoZ4s2
2023-05-039,4Ls53fBNVfaXTROBi6X8Hw
2023-05-043,0DWdj2oZMBFSzRsi2Cvfzf
2023-05-044,49GYvCcvMQq1SY3f7Y347h
2023-05-045,3p7XQpdt8Dr6oMXSvRZ9bg
2023-05-046,2ZL7WZcjuYKi1KUDtp4kCC
2023-05-047,1odExI7RdWc4BT515LTAwj
2023-05-048,1bDbXMyjaUIooNwFE9wn0N
2023-05-049,2kYevr8cbIAH2ha8210Bnz
2023-05-050,0IKeDy5bT9G0bA7ZixRT4A
2023-05-051,3kXH9BQq0TyNliiP1MIE6N
2023-05-053,6DLbBlGIOjjEj0dNN25zhZ
2023-05-054,39OclE5hZematADrdfaWvE
2023-05-060,07on0OB2cdPt79IFsgdRUy
