billboard_id,track_id
2022-01-001,0bYg9bo50gSsH3LtXe2SQn
2022-01-002,2EjXfH91m7f8HiJN1yQg97
2022-01-003,3hBXvHLlTHvnbwrPbeoyAj
2022-01-004,65Q2mv3UlVi9eO70OpsmSe
2022-01-006,5hslUAKq9I9CG2bAulFkHN
2022-01-007,6wn2nmFn3wDuiMldRiuRuL
2022-01-008,0oPdaY4dXtc3ZsaG17V972
2022-01-010,5ASM6Qjiav2xPe7gRkQMsQ
2022-01-011,4PS1e8f2LvuTFgUs1Cn3ON
2022-01-012,2uFaJJtFpPDc5Pa95XzTvg
2022-01-013,3YZE5qDV7u1ZD1gZc47ZeR
2022-01-015,3USxtqRwSYz57Ewm6wWRMp
2022-01-016,2DomOAEa6ghF8BzOES61tK
2022-01-017,2pXpURmn6zC5ZYDMms6fwa
2022-01-018,0lizgQ7Qw35od7CYaoMBZb
2022-01-020,3sDdyBHQ60Cs1opmIyRvhp
2022-01-021,4so0Wek9Ig1p6CRCHuINwW
2022-01-025,2pnPe4pJtq7689i5ydzvJJ
2022-01-030,5a1iz510sv2W9Dt1MvFd5R
2022-01-033,4KV9bM7a1KDc7b7OakFZic
2022-01-034,4qP2V09IpTct5A1ZSnr1zh
2022-01-036,1SV1fxF65n9NhRHp3KlBuu
2022-01-038,6PERP62TejQjgHu81OHxgM
2022-01-039,6I3mqTwhRpn34SLVafSH7G
2022-01-040,3QIoEi8Enr9uHffwInGIsC
2022-01-041,2QpN1ZVw8eJO5f7WcvUA1k
2022-01-043,5xlS0QkVrSH7ssEbBgBzbM
2022-01-044,7xapw9Oy21WpfEcib2ErSA
2022-01-046,2I5xeRHcOIA20a6B9RJSS0
2022-01-047,37UhuyGwWHgS1dhTePiJBy
2022-01-066,0uRrG2jRR5tuifsYIJHEao
2022-01-068,7FaJSMXBhSdsxE9Kze7BOa
2022-01-093,1HS7P1v50YmX12LCEmlF0F
2022-02-003,3USxtqRwSYz57Ewm6wWRMp
2022-02-013,6I3mqTwhRpn34SLVafSH7G
2022-02-025,6PERP62TejQjgHu81OHxgM
2022-02-043,0uRrG2jRR5tuifsYIJHEao
2022-02-057,1HS7P1v50YmX12LCEmlF0F
2022-02-077,7FaJSMXBhSdsxE9Kze7BOa
2022-02-097,57IRaiAB4hBZu3gnNVZC0v
2022-03-002,3USxtqRwSYz57Ewm6wWRMp
2022-03-007,6I3mqTwhRpn34SLVafSH7G
2022-03-027,6PERP62TejQjgHu81OHxgM
2022-03-030,0uRrG2jRR5tuifsYIJHEao
2022-03-043,503OTo2dSqe7qk76rgsbep
2022-03-099,7FaJSMXBhSdsxE9Kze7BOa
2022-04-001,3USxtqRwSYz57Ewm6wWRMp
2022-04-005,6I3mqTwhRpn34SLVafSH7G
2022-04-027,6PERP62TejQjgHu81OHxgM
2022-04-038,0uRrG2jRR5tuifsYIJHEao
2022-04-044,0QULNNd9z5s35entfiiXoa
2022-05-003,3USxtqRwSYz57Ewm6wWRMp
2022-05-008,6I3mqTwhRpn34SLVafSH7G
2022-05-027,3cBsEDNhFI9E82vPj3kvi3
2022-05-035,6PERP62TejQjgHu81OHxgM
2022-05-046,0uRrG2jRR5tuifsYIJHEao
2022-06-006,3USxtqRwSYz57Ewm6wWRMp
2022-06-018,6I3mqTwhRpn34SLVafSH7G
2022-06-023,3cBsEDNhFI9E82vPj3kvi3
2022-07-010,3USxtqRwSYz57Ewm6wWRMp
2022-07-017,3cBsEDNhFI9E82vPj3kvi3
2022-07-026,6I3mqTwhRpn34SLVafSH7G
2022-08-010,3USxtqRwSYz57Ewm6wWRMp
2022-08-014,3cBsEDNhFI9E82vPj3kvi3
2022-08-020,6I3mqTwhRpn34SLVafSH7G
2022-09-017,3USxtqRwSYz57Ewm6wWRMp
2022-09-019,3cBsEDNhFI9E82vPj3kvi3
2022-09-030,6I3mqTwhRpn34SLVafSH7G
2022-09-071,2Ch7LmS7r2Gy2kc64wv3Bz
2022-09-085,4xfezXafYzsy7G4KfXQ9G5
2022-10-015,3cBsEDNhFI9E82vPj3kvi3
2022-10-017,3USxtqRwSYz57Ewm6wWRMp
2022-10-036,6I3mqTwhRpn34SLVafSH7G
2022-10-046,2Ch7LmS7r2Gy2kc64wv3Bz
2022-10-087,4xfezXafYzsy7G4KfXQ9G5
2022-11-029,3cBsEDNhFI9E82vPj3kvi3
2022-11-043,2Ch7LmS7r2Gy2kc64wv3Bz
2022-11-092,4xfezXafYzsy7G4KfXQ9G5
2022-12-005,0bYg9bo50gSsH3LtXe2SQn
2022-12-006,2EjXfH91m7f8HiJN1yQg97
2022-12-009,3hBXvHLlTHvnbwrPbeoyAj
2022-12-010,65Q2mv3UlVi9eO70OpsmSe
2022-12-012,2Ch7LmS7r2Gy2kc64wv3Bz
2022-12-019,5hslUAKq9I9CG2bAulFkHN
2022-12-020,3cBsEDNhFI9E82vPj3kvi3
2022-12-023,6wn2nmFn3wDuiMldRiuRuL
2022-12-034,4PS1e8f2LvuTFgUs1Cn3ON
2022-12-040,5ASM6Qjiav2xPe7gRkQMsQ
2022-12-041,2uFaJJtFpPDc5Pa95XzTvg
2022-12-042,0oPdaY4dXtc3ZsaG17V972
2022-12-043,2pXpURmn6zC5ZYDMms6fwa
2022-12-048,3YZE5qDV7u1ZD1gZc47ZeR
2022-12-083,4xfezXafYzsy7G4KfXQ9G5
2022-01-005,0gplL1WMoJ6iYaPgMCL0gX
2022-01-023,50nfwKoDiSYg8zOCREWAm5
2022-01-024,3Vi5XqYrmQgOYBajMWSvCi
2022-01-026,40G7ZcF9YkTppG7cFjCqnK
2022-01-031,6PQ88X9TkUIAUIZJHW2upE
2022-01-032,3xVZYkcuWalGudeKl861wb
2022-01-042,5dXWFMwD7I7zXsInONVl0H
2022-01-045,3ZozFqJJlDBNIm4xqxn2ZD
2022-01-049,3egamOji0THEWgIOnAN2LX
2022-01-051,4RVwu0g32PAqgUiJoXsdF8
2022-01-052,2Xr1dTzJee307rmrkt8c0g
2022-01-057,3Kkjo3cT83cw09VJyrLNwX
2022-01-059,69AIpwGNLxr4qS1X5ynx60
2022-01-060,374MrggHI4Ip6UwJkaQUBn
2022-01-061,2UikqkwBv7aIvlixeVXHWt
2022-01-069,5lHxARJJrZc3ss4ZVmGWfz
2022-01-073,4FdPnT2cFrpWCmWZd7GXc3
2022-01-076,2ds0pWAKDaq9yz3o6rexbk
2022-01-082,13rC4iKtfQocWIfzPOJxaT
2022-02-001,52xJxFP6TqMuO4Yt0eOkMz
2022-02-002,0gplL1WMoJ6iYaPgMCL0gX
2022-02-005,40G7ZcF9YkTppG7cFjCqnK
2022-02-006,50nfwKoDiSYg8zOCREWAm5
2022-02-009,760jhRscwGbIIe1m1IIQpU
2022-02-011,3Vi5XqYrmQgOYBajMWSvCi
2022-02-012,6PQ88X9TkUIAUIZJHW2upE
2022-02-015,3xVZYkcuWalGudeKl861wb
2022-02-017,39LLxExYz6ewLAcYrzQQyP
2022-02-018,3egamOji0THEWgIOnAN2LX
2022-02-021,3Kkjo3cT83cw09VJyrLNwX
2022-02-022,69AIpwGNLxr4qS1X5ynx60
2022-02-026,2Xr1dTzJee307rmrkt8c0g
2022-02-028,2UikqkwBv7aIvlixeVXHWt
2022-02-029,3ZozFqJJlDBNIm4xqxn2ZD
2022-02-030,3yMC1KsTwh0ceXdIe4QQAQ
