billboard_id,track_id
2025-01-001,0bYg9bo50gSsH3LtXe2SQn
2025-01-002,2EjXfH91m7f8HiJN1yQg97
2025-01-003,2FRnf9qhLbvw8fu4IBXx78
2025-01-004,7vQbuQcyTflfCIOu3Uzzya
2025-01-006,77khP2fIVhSW23NwxrRluh
2025-01-017,2plbrEY59IikOBgBGLjaoe
2025-01-024,2FQrifJ1N335Ljm3TjTVVf
2025-01-028,6dOtVTDdiauQNBQEDOtlAB
2025-01-041,5G2f63n7IPVPPjfNIGih7Q
2025-01-044,0nj9Bq5sHDiTxSHunhgkFb
2025-01-046,2qSkIjg1o9h3YT9RAgYN75
2025-01-053,5mAGsieQbw180sYdL3RMKk
2025-01-055,3U3hFkMr0Q90pD24EkE3Pr
2025-01-058,2262bWmqomIaJXwCRHr13j
2025-01-060,1UHS8Rf6h5Ar3CDWRd3wjF
2025-01-061,3SKH53SPQbEnZR4cJPVaz2
2025-01-067,1k2pQc5i348DCHwbn5KTdc
2025-01-068,1cOboCuWYI2osTOfolMRS6
2025-01-072,3t6gUcGYLrUuqwpXjOFWQc
2025-01-074,3siwsiaEoU4Kuuc9WKMUy5
2025-01-084,0llPOBVoJYDAtdmVlNE41A
2025-01-085,4t4rGgiVX7woTmlnW9SHJ7
2025-01-087,6dayCflQl0ISXwZs6GBygC
2025-01-093,2oVVaVY0LkzwAYYcyzon6Z
2025-01-095,4izQNhcqRT0tuqh9dWTKvi
2025-02-001,2plbrEY59IikOBgBGLjaoe
2025-02-002,3sK8wGT43QFpWrvNQsrQya
2025-02-004,2FQrifJ1N335Ljm3TjTVVf
2025-02-006,6dOtVTDdiauQNBQEDOtlAB
2025-02-007,6usohdchdzW9oML7VC4Uhk
2025-02-009,2lTm559tuIvatlT1u0JYG2
2025-02-010,5mAGsieQbw180sYdL3RMKk
2025-02-011,2qSkIjg1o9h3YT9RAgYN75
2025-02-014,5G2f63n7IPVPPjfNIGih7Q
2025-02-015,5TFD2bmFKGhoCRbX61nXY5
2025-02-016,6tNQ70jh4OwmPGpYy6R2o9
2025-02-018,0TaLETmF6CvzLKukgBXERn
2025-02-020,4IadxL6BUymXlh8RCJJu7T
2025-02-021,0nj9Bq5sHDiTxSHunhgkFb
2025-02-022,3Vr3zh0r7ALn8VLqCiRR10
2025-02-024,3SKH53SPQbEnZR4cJPVaz2
2025-02-025,7tI8dRuH2Yc6RuoTjxo4dU
2025-02-027,0WbMK4wrZ1wFSty9F7FCgu
2025-02-029,6AI3ezQ4o3HUoP6Dhudph3
2025-02-030,6J5kc12BW5HuP3d7C3vvx8
2025-02-031,3U3hFkMr0Q90pD24EkE3Pr
2025-02-033,2262bWmqomIaJXwCRHr13j
2025-02-035,1UHS8Rf6h5Ar3CDWRd3wjF
2025-02-037,3siwsiaEoU4Kuuc9WKMUy5
2025-02-040,3SaS0Va6o6jYkWvadT86C6
2025-02-041,0llPOBVoJYDAtdmVlNE41A
2025-02-042,3QaPy1KgI7nu9FJEQUgn6h
2025-02-043,63EQbNhgaih4yg5412usWG
2025-02-045,5N3hjp1WNayUPZrA8kJmJP
2025-02-046,1k2pQc5i348DCHwbn5KTdc
