billboard_id,track_id
2018-01-001,0tgVpDi06FyKpA1z0VMD4v
2018-01-003,1rfofaqEpACxVEHIZBJe6W
2018-01-004,2DQ1ITjI0YoLFzuADN1ZBW
2018-01-005,1zB4vmk8tFRmM9UULNzbLB
2018-01-006,43ZyHQITOjhciSUUNPVRHc
2018-01-007,4wFjTWCunQFKtukqrNijEt
2018-01-008,3VlbOrM6nYPprVvzBZllE5
2018-01-009,7y9iMe8SOB6z3NoHE2OfXl
2018-01-011,6PGoSes0D9eUDeeAafB2As
2018-01-012,2ekn2ttSfGqwhhate0LSR0
2018-01-013,0bYg9bo50gSsH3LtXe2SQn
2018-01-014,0dIoGTQXDh1wVnhIiSyYEa
2018-01-015,4HbiCvH1R7mVOJ7KY7JQBD
2018-01-016,75ZvA4QfFiZvzhj2xkaWAh
2018-01-017,52okn5MNA47tk87PeZJLEL
2018-01-018,5Z3GHaZ6ec9bsiI5BenrbY
2018-01-019,7qiZfU4dY1lWllzX7mPBI3
2018-01-020,7gvd8xj4QgPqbQSsn5pV7d
2018-01-021,2j5hsQvApottzvTn4pFJWF
2018-01-022,1XRgIKC5TPwo7nWGyKqgG0
2018-01-023,6QgjcU0zLnzq5OrUoSZ3OK
2018-01-024,5k38wzpLb15YgncyWdTZE4
2018-01-025,0pqnGHJpmpxLKifKRmU6WP
2018-01-026,7iDa6hUg2VgEL1o1HjmfBn
2018-01-027,6wmAHw1szh5RCKSRjiXhPe
2018-01-028,2fQrGHiQOvpL9UgPvtYy6G
2018-01-030,6rPO02ozF3bM7NnOV4h6s2
2018-01-031,4dVpf9jZjcORqGTLUaeYj9
2018-01-032,4ipnJyDU3Lq15qBAYNqlqK
2018-01-033,6gU9OKjOE7ghfEd55oRO57
2018-01-035,2eAZfqOm4EnOF9VvN50Tyc
2018-01-036,2EjXfH91m7f8HiJN1yQg97
2018-01-037,0KKkJNfGyhkQ5aFogxQAPU
2018-01-038,5hslUAKq9I9CG2bAulFkHN
2018-01-039,5cF0dROlMOK5uNZtivgu50
2018-01-040,2x0WlnmfG39ZuDmstl9xfX
2018-01-041,5WoaF1B5XIEnWfmb5NZikf
2018-01-042,4PS1e8f2LvuTFgUs1Cn3ON
2018-01-043,1cS0TgbR263ey9jn0MwD2s
2018-01-044,7vGuf3Y35N4wmASOKLUVVU
2018-01-045,0OWZFobGSIW9GrSlQ9C5pc
2018-01-046,65Q2mv3UlVi9eO70OpsmSe
2018-01-047,3B54sVLJ402zGa6Xm4YGNe
2018-01-048,0Qh38w01QRXK6KHIv0e3hb
2018-01-050,32lItqlMi4LBhb4k0BaSaC
2018-01-051,40oKW22ZNNkEdZLJTScaQI
2018-01-053,7sO5G9EABYOXQKNPNiE9NR
2018-01-054,5A6BJLZArq1MPjsnmcuk5f
2018-01-055,5Gu0PDLN4YJeW75PpBSg9p
