track_id,artists,album_name,track_name,duration_ms,explicit
2022-01-001,Mariah Carey,Merry Christmas,All I Want For Christmas Is You,239000,false
2022-01-002,Brenda Lee,Christmas Cookies,Rockin' Around The Christmas Tree,126000,false
2022-01-003,Bobby Helms,Jingle Bells,Jingle Bell Rock,130000,false
2022-01-004,Burl Ives,Have A Holly Jolly Christmas,A Holly Jolly Christmas,128000,false
2022-01-005,Adele,Easy On Me,Easy On Me,224000,false
2022-01-006,Andy Williams,The Andy Williams Christmas Album,It's The Most Wonderful Time Of The Year,151000,false
2022-01-007,Wham!,LAST CHRISTMAS,Last Christmas,264000,false
2022-01-008,Jose Feliciano,Feliz Navidad,Feliz Navidad,182000,false
2022-01-009,The Kid LAROI & Justin Bieber,STAY,Stay,140000,true
2022-01-010,The Ronettes,A Christmas Gift For You From Phil Spector,Sleigh Ride,181000,false
2022-01-011,Nat King Cole,The Christmas Song,The Christmas Song (Merry Christmas To You),190000,false
2022-01-012,Dean Martin,Let It Snow,"Let It Snow, Let It Snow, Let It Snow",116000,false
2022-01-013,Kelly Clarkson,Wrapped In Red,Underneath The Tree,229000,false
2022-01-014,Lil Durk Featuring Morgan Wallen,Broadway Girls (feat. Morgan Wallen),Broadway Girls,188000,false
2022-01-015,Glass Animals,Dreamland,Heat Waves,239000,false
2022-01-016,Darlene Love,A Christmas Gift For You From Phil Spector,Christmas (Baby Please Come Home),166000,false
2022-01-017,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,Greatest Christmas Songs,It's Beginning To Look A Lot Like Christmas,155000,false
2022-01-018,Ariana Grande,Santa Tell Me,Santa Tell Me,203000,false
2022-01-019,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Rudolph The Red-Nosed Reindeer,187000,false
2022-01-020,Andy Williams,Christmas Album,Happy Holiday / The Holiday Season,156000,false
2022-01-021,Bing Crosby,The Polar Express (Original Motion Picture Soundtrack),White Christmas,184000,false
2022-01-022,Lil Nas X & Jack Harlow,INDUSTRY BABY,Industry Baby,214000,true
2022-01-023,Ed Sheeran,=,Shivers,207000,false
2022-01-024,Doja Cat,Planet Her,Need To Know,210000,true
2022-01-025,Chuck Berry,Rock 'N' Roll Rarities,Run Rudolph Run,162000,false
2022-01-026,Kodak Black,Sniper Gang Presents Syko Bob & Snapkatt: Nightmare Babies,Super Gremlin,200000,true
2022-01-027,GAYLE,abcdefu (demo),abcdefu,155000,true
2022-01-028,Perry Como With Mitchell Ayers And His Orchestra,A Perry Como Christmas,(There's No Place Like) Home For The Holidays (1959),178000,false
2022-01-029,Elton John & Dua Lipa,Cold Heart (PNAU Remix),Cold Heart (PNAU Remix),203000,false
2022-01-030,Michael Buble,100 Greatest Christmas Songs Ever,It's Beginning To Look A Lot Like Christmas,206000,false
2022-01-031,Ed Sheeran,Bad Habits,Bad Habits,230000,false
2022-01-032,Silk Sonic (Bruno Mars & Anderson .Paak),An Evening With Silk Sonic,Smokin Out The Window,197000,false
2022-01-033,Frank Sinatra,Christmas,Jingle Bells,117000,false
2022-01-034,Thurl Ravenscroft,How The Grinch Stole Christmas,"You're A Mean One, Mr. Grinch",176000,false
2022-01-035,Eartha Kitt With Henri Rene And His Orchestra,Heavenly Eartha,Santa Baby,206000,false
2022-01-036,Paul McCartney,McCartney II (Archive Edition),Wonderful Christmastime,227000,false
2022-01-037,Vince Guaraldi Trio,Late Night Tales: Fatboy Slim (Remastered),Linus And Lucy (Peanuts Theme),184000,false
2022-01-038,Olivia Rodrigo,SOUR,Good 4 U,178000,true
2022-01-039,Justin Bieber,Justice,Ghost,153000,false
2022-01-040,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),Please Come Home For Christmas,177000,false
2022-01-041,Jackson 5,Ultimate Christmas Collection,Santa Claus Is Comin' To Town,143000,false
2022-01-042,SZA,SOS,I Hate U,181000,true
2022-01-043,The Beach Boys,Christmas With The Beach Boys,Little Saint Nick,120000,false
2022-01-044,Justin Bieber,Under The Mistletoe (Deluxe Edition),Mistletoe,182000,false
2022-01-045,Walker Hayes,Fancy Like (feat. Kesha),Fancy Like,161000,false
2022-01-046,Nat King Cole,Nat King Cole - Christmas songs,Deck The Halls,64000,false
2022-01-047,Michael Buble,Christmas (Deluxe 10th Anniversary Edition),Have Yourself A Merry Little Christmas,232000,false
