track_id,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5dae01pKNjRQtgOeAkFzPY,"Mona Lisa","Unforgettable","Nat King Cole",1954-01-01,194986,57,false,jmlemmon,2020-09-19T17:58:36Z,"christmas,adult standards,vocal jazz","CAPITOL CATALOG MKT (C92)",0.241,0.237,1,-12.201,1,0.0371,0.952,0,0.113,0.303,174.578,3
spotify:track:6XzXeNu7FuUttdTwVl0rG1,"Theme (From ""The Third Man"")","Classical Music: 50 of the Best Film Classics","Anton Karas",2012-10-01,127613,0,false,jmlemmon,2020-09-19T17:58:36Z,"","Naxos Special Projects",0.496,0.523,2,-11.518,1,0.0455,0.97,0.753,0.163,0.915,145.126,3
spotify:track:33FdwvfiSBRbE2AQ4UehaR,"Play A Simple Melody - Single Version","Bing-His Legendary Years 1931-1957","Gary Crosby & Friend",1993-01-01,175693,16,false,jmlemmon,2020-09-19T17:58:36Z,"","Geffen*",0.659,0.229,10,-13.755,1,0.0473,0.768,0.00000355,0.167,0.829,138.805,3
spotify:track:4yDNxMcQCjnCg9lLoKAH0I,"(Put Another Nickel In) Music! Music! Music!","A Sweet Old-Fashioned Girl","Teresa Brewer",1995-01-01,160666,0,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","Geffen",0.753,0.446,7,-14.38,1,0.0399,0.644,0.0000247,0.173,0.921,99.115,4
spotify:track:5uEwpyOYHFGqme4WnVQhfs,"The Third Man Theme","Guy Lombardo On Planet Swing","Guy Lombardo;Don Rodney",2009,179040,3,false,jmlemmon,2020-09-19T17:58:36Z,"big band","Wnts",0.788,0.158,0,-12.071,1,0.0365,0.885,0.627,0.101,0.569,115.551,4
spotify:track:4uq2Zctom8rlXuL3Omm77g,"Chattanoogie Shoe Shine Boy","Old Shep","Red Foley",2008-08-26,166586,14,false,jmlemmon,2020-09-19T17:58:36Z,"classic country,traditional country,honky tonk,country christian","Delta - X5 Music Group",0.726,0.677,10,-7.084,1,0.122,0.633,0.000213,0.0573,0.838,147.967,4
spotify:track:7hHOmImd35ZdKovBNSQXk8,"Harbor Lights","Best Of The Big Bands","Swing & Sway With Sammy Kaye",1990-01-16,200760,8,false,jmlemmon,2020-09-19T17:58:36Z,"big band","Columbia",0.216,0.0591,2,-21.08,1,0.0325,0.99,0.00218,0.112,0.131,83.344,4
spotify:track:2dQ6cleOtvk3iGjCRMlInT,"If I Knew You Were Comin' (I'd Have Baked a Cake)","For the Love of Oldies: 1955 to 1965","Eileen Barton",2017-04-21,159120,0,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards,traditional folk,swing music","45 RPM Records",0.734,0.33,8,-7.246,1,0.333,0.848,0.00000228,0.0697,0.948,170.128,4
spotify:track:17wEjjWqgu0HlSbb57zrOl,"Bonaparte's Retreat","Capitol Collectors Series","Kay Starr",1991-01-01,148106,4,false,jmlemmon,2020-09-19T17:58:36Z,"christmas","Capitol Records",0.638,0.137,8,-15.119,1,0.0596,0.805,0.00000178,0.0824,0.834,146.004,4
spotify:track:6LkJcX34c0lPCNfHXZiVVo,"There's No Tomorrow","Greatest Hits","Tony Martin",2001-07-30,195160,19,false,jmlemmon,2020-09-19T17:58:36Z,"motown","RCA Records Label",0.271,0.214,10,-10.171,1,0.0304,0.954,0.0278,0.437,0.196,93.787,4
