track_id,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1M4oXWd93RwPzt6Ns9h1Nc,"The Thing","At His Best","Phil Harris",2008-03-10,142133,17,false,jmlemmon,2020-09-19T17:58:36Z,"","Rex Recordings",0.813,0.558,2,-10.482,1,0.351,0.901,0,0.133,0.926,127.756,3
spotify:track:4cebVIEpo3f2Pks50fATbc,"Sentimental Me","The Ames Brothers Volume 2","The Ames Brothers",2007-05-26,198239,1,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","Autarc Media GmbH",0.41,0.177,8,-11.459,1,0.0274,0.86,0,0.118,0.264,75.601,4
spotify:track:0BHroBUvBAp561BYqC9LRK,"Tennessee Waltz","Golden Hits","Patti Page",1960-09-07,185000,11,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","Mercury Records",0.373,0.124,5,-12.95,1,0.0342,0.969,0.000891,0.123,0.351,86.857,3
spotify:track:18OOWYpby2ZvjBGokvInzp,"I Can Dream, Can'T It","Civilization","The Andrews Sisters",2015,159493,3,false,jmlemmon,2020-09-19T17:58:36Z,"christmas,big band,swing music","TF Sound",0.253,0.199,0,-9.302,1,0.0329,0.913,0,0.117,0.253,179.15,4
spotify:track:1v52YkW75eN4RJ2EyDdQVI,"I'll Never Be Free","Tennessee Ernie Ford The Greatest Hits & More","Tennessee Ernie Ford & Kay Starr",2011-04-10,156986,0,false,jmlemmon,2020-09-19T17:58:36Z,"","Roslin Records",0.703,0.197,7,-11.312,1,0.0327,0.795,0,0.0982,0.469,82.114,3
spotify:track:19vjeNqhgk0vhH5TuxDok9,"All My Love","The Patti Page Collection: The Mercury Years, Vol. 1","Patti Page",1991-11-22,194333,6,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","Mercury Records",0.627,0.193,8,-14.935,1,0.0451,0.888,0.00000149,0.119,0.596,123.231,4
spotify:track:2G597vEgxsvckPwocEHY9Y,"My foolish Heart","The Golden Age of Light Music: Amor, Amor: Music for Romance","Victor Young;Roberto Inglez Orchestra;Roberto Inglez;Ambrose Orchestra;Bruce Campbell Orchestra;David Rose Orchestra;Frank Chacksfield Orchestra;Frank Cordell Orchestra;Gordon Jenkins And Orchestra;Henri Rene Orchestra;Hugo Winterhalter Orchestra;The Johnny Douglas Orchestra;Kingsway Promenade Orchestra;Percy Faith & His Orchestra;Philip Green Orchestra;Queen's Hall Light Orchestra;Ray Martin Concert Orchestra;Robert Farnon Orchestra;Ron Goodwin Concert Orchestra;Sidney Torch Orchestra",2007-03-01,175693,5,false,jmlemmon,2020-09-19T17:58:36Z,"big band,ragtime,orchestral,easy listening,jazz","Guild GmbH",0.283,0.219,8,-13.386,1,0.0373,0.943,0.91,0.147,0.308,100.861,4
spotify:track:7z03paoXvhCzN22twdfPHR,"Rag Mop","The Best Of The Ames","The Ames Brothers",2010-03-31,166520,22,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","PnR",0.565,0.478,7,-14.53,1,0.0567,0.57,0.000451,0.33,0.956,203.468,4
spotify:track:11I6S3cRw3rQiToU1uYjVZ,"Bewitched","Bewitching Piano","Bill Snyder",2005-05-03,172360,0,false,jmlemmon,2020-09-19T17:58:36Z,"classical piano","Memoir Records",0.484,0.173,1,-19.406,1,0.0404,0.965,0.755,0.179,0.245,76.499,4
spotify:track:6SHADtq8nTZCUTjyP7HJqf,"Hoop-Dee-Doo","All Time Greatest Hits","Perry Como",1988-06-16,174040,0,false,jmlemmon,2020-09-19T17:58:36Z,"christmas,adult standards","RCA Records Label",0.645,0.43,1,-11.916,1,0.0444,0.91,0,0.561,0.944,132.643,4
spotify:track:4lh2f3aeRv0GcTUwP4Ydi1,"Can Anyone Explain","The Best Of The Ames","The Ames Brothers",2010-03-31,181944,5,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","PnR",0.282,0.0927,9,-20.998,1,0.0333,0.874,0.00531,0.102,0.296,144.496,4
spotify:track:75dwXgnlK10c8YtvUODVbj,"My Foolish Heart","Everything I Have Is Yours / The Best Of The MGM Years","Billy Eckstine",1994-01-01,185906,6,false,jmlemmon,2020-09-19T17:58:36Z,"vocal jazz,big band,bebop","Verve",0.316,0.11,9,-17.251,1,0.0367,0.992,0.539,0.403,0.122,88.791,4
spotify:track:28IBsttOK2aG9Cb4QtqhMr,"Dear Hearts And Gentle People","Bing-His Legendary Years 1931-1957","Bing Crosby",1993-01-01,161293,29,false,jmlemmon,2020-09-19T17:58:36Z,"christmas","Geffen*",0.768,0.288,2,-12.741,1,0.0397,0.91,0.00034,0.142,0.721,107.741,3
spotify:track:4Gx5Hy6fnfeXcSEnVls6f3,"The Cry of the Wild Goose","The Essential Frankie Laine","Frankie Laine",2014-04-18,174813,10,false,jmlemmon,2020-09-19T17:58:36Z,"adult standards","Columbia/Legacy",0.637,0.275,0,-12.261,0,0.0386,0.824,0,0.239,0.454,80.044,4
spotify:track:0zII0Soax7wbm3Avw7iVAd,"Too Young","The Nat King Cole Story","Nat King Cole",1961-09-25,204626,48,false,jmlemmon,2020-09-19T17:59:19Z,"christmas,adult standards,vocal jazz","Capitol Records",0.21,0.213,8,-14.531,1,0.0307,0.805,0.0000843,0.126,0.207,76.549,3
spotify:track:2B7iC9RPqPDExof8J2W0T3,"Because of You","Please, My Love","Tony Bennett",2012-11-27,183588,0,false,jmlemmon,2020-09-19T17:59:19Z,"vocal jazz,christmas,big band,adult standards,jazz","Labelle",0.124,0.404,8,-8.15,1,0.031,0.931,0.0315,0.126,0.119,81.467,4
spotify:track:5MfcFkJwGKWunk3veqZqTG,"How High The Moon","The Best Of The Capitol Masters / Selections From The Legend And The Legacy Box Set","Les Paul;Mary Ford",1992-07-20,127960,0,false,jmlemmon,2020-09-19T17:59:19Z,"","Capitol Catalog",0.701,0.519,11,-13.513,0,0.0358,0.778,0.121,0.202,0.863,118.368,4
spotify:track:2scbGWVjIYsfieovyRyfv1,"Come On-A My House","Come On A My House - The Very Best Of Rosemary Clooney - Jazz Signature Series","Rosemary Clooney",2006-01-01,117266,0,false,jmlemmon,2020-09-19T17:59:19Z,"vocal jazz,big band","Bluebird/Legacy",0.531,0.676,10,-7.168,0,0.125,0.84,0,0.4,0.957,183.208,4
spotify:track:1Uhp1X9UpvDSji5FfZVRI7,"On Top Of Old Smoky","Weavers","The Weavers",2005-09-15,166386,0,false,jmlemmon,2020-09-19T17:59:19Z,"traditional folk,folk","Prestige Elite",0.412,0.417,11,-11.005,1,0.0405,0.896,0,0.181,0.671,170.461,3
spotify:track:7iiXWXYFL4TtXosi4vX5q8,"Cold, Cold Heart - Remastered","Heartbroken","Tony Bennett",2012-12-14,157175,0,false,jmlemmon,2020-09-19T17:59:19Z,"vocal jazz,christmas,big band,adult standards,jazz","Prime Jazz Music",0.329,0.21,7,-9.7,1,0.0306,0.969,0,0.17,0.221,98.266,5
spotify:track:27vLW4WaU8Cu0uRt00jGic,"If","Don't Let the Stars Get in Your Eyes (Singles 1950 -1953)","Perry Como;Mitchell Ayres' Orchestra",2012-01-01,185560,0,false,jmlemmon,2020-09-19T17:59:19Z,"christmas,adult standards","Vocal Classics",0.235,0.183,0,-10.153,1,0.0295,0.906,0.0000523,0.288,0.194,158.566,4
spotify:track:4hZa5a5GvKiREa07xWLKSH,"The Loveliest Night of the Year (from ""The Great Caruso"")","Legends - Mario Lanza","Mario Lanza;Constantine Callinicos",2004,217280,15,false,jmlemmon,2020-09-19T17:59:19Z,"opera","RCA Camden",0.266,0.325,8,-10.535,1,0.0333,0.938,0.00359,0.297,0.237,72.476,4
spotify:track:42QVTogM0TmusuxsdnMa0T,"Tennessee Waltz - Plantation Re-Recording","Tennesse Waltz - 20 Smash Hits (Plantation Re-recordings)","Patti Page",2009-07-23,177222,0,false,jmlemmon,2020-09-19T17:59:19Z,"adult standards","Charly Records",0.439,0.219,3,-13.118,1,0.0264,0.776,0.000275,0.11,0.3,86.634,3
spotify:track:337MjXbvx4dDSgOYSfawii,"I Get Ideas (When We Are Dancing)","Greatest Hits","Tony Martin",2001-07-30,159466,25,false,jmlemmon,2020-09-19T17:59:19Z,"motown","RCA Records Label",0.355,0.229,7,-10.46,1,0.076,0.881,0.00000391,0.198,0.502,200.544,4
spotify:track:5PKUlBMBpoqAwj2U81aHs2,"Mockin' Bird Hill","25 Country Memories","Les Paul;Mary Ford",2008-09-25,139360,0,false,jmlemmon,2020-09-19T17:59:19Z,"","K-Tel",0.723,0.464,6,-7.654,1,0.0294,0.802,0,0.205,0.689,82.405,1
spotify:track:275tTNaOgymN1akp3CqwqK,"Mockin’ Bird Hill","The Ultimate Collection","Patti Page",2012-12-20,180493,0,false,jmlemmon,2020-09-19T17:59:19Z,"adult standards","Play Digital",0.587,0.174,3,-12.584,1,0.048,0.989,0.000315,0.128,0.682,123.385,4
spotify:track:40NXfGEIpzoFXshxkU8EFA,"My Heart Cries For You","Hit Parade Classics Vol 3","Guy Mitchell",2011-01-17,172051,0,false,jmlemmon,2020-09-19T17:59:19Z,"","Classic Records",0.433,0.185,8,-11.924,1,0.0297,0.961,0,0.291,0.317,102.214,3
spotify:track:456sDdvX9axe41U1pNhA5F,"Sound Off!","The Main Event","Vaughn Monroe",2006,167200,0,false,jmlemmon,2020-09-19T17:59:19Z,"big band,adult standards","Jasmine Records",0.665,0.656,5,-9.459,1,0.0475,0.779,0.0161,0.0633,0.663,114.21,4
spotify:track:27A0z0YFV70wHJxp1rvraE,"Sweet Violets","Presenting… Dinah Shore","Dinah Shore",2011-07-01,171853,0,false,jmlemmon,2020-09-19T17:59:19Z,"big band,adult standards,vocal jazz,jazz ballads","Signature",0.547,0.346,7,-9.573,1,0.0445,0.912,0,0.145,0.792,184.514,3
spotify:track:0bxWyyGLSCdMSs67QhsCS7,"The World Is Waiting For The Sunrise","The Very Best Of Les Paul And Mary Ford","Les Paul;Mary Ford",2008-01-01,132386,4,false,jmlemmon,2020-09-19T17:59:19Z,"","EMI Gold",0.647,0.578,1,-9.614,1,0.0317,0.781,0.00393,0.272,0.888,133.681,4
spotify:track:5UKcLXMxnK07HqmnHCi1C7,"My Truly, Truly Fair (with Mitch Miller & His Orchestra & Chorus)","16 Most Requested Songs","Guy Mitchell;Mitch Miller & His Orchestra & Chorus",1991-09-03,169040,20,false,jmlemmon,2020-09-19T17:59:19Z,"adult standards","Legacy/Columbia",0.873,0.3,9,-12.112,1,0.0348,0.8,0,0.0909,0.96,109.38,4
spotify:track:3SRUaCjdLs4QQRH3YQOeWQ,"(It's No) Sin","The Best Of The Four Aces","The Four Aces",2008-10-01,198513,0,false,jmlemmon,2020-09-19T17:59:19Z,"doo-wop,adult standards","Hallmark",0.377,0.0407,7,-25.975,1,0.0303,0.921,0.000717,0.364,0.31,71.959,4
spotify:track:5hQ3Z5zYqHKZBO0pPb16eI,"Rose, Rose, I Love You","Frankie Laine's Greatest Hits","Frankie Laine",1958,152306,19,false,jmlemmon,2020-09-19T17:59:19Z,"adult standards","Columbia",0.336,0.315,0,-14.154,1,0.0432,0.801,0,0.175,0.938,202.391,4
spotify:track:4cYbD7BDArN3EUVWwg88YP,"I Apologize","Prisoner of Love","Billy Eckstine",2012-12-03,199680,0,false,jmlemmon,2020-09-19T17:59:19Z,"vocal jazz,big band,bebop","Golden Glow",0.308,0.335,1,-8.615,1,0.0275,0.969,0.00504,0.149,0.12,92.57,3
spotify:track:4tUoacmV6K7NY5hVgsf4dj,"Would I Love You, Love You, Love You","Songs","Patti Page With Orchestra",2016-08-04,171163,0,false,jmlemmon,2020-09-19T17:59:19Z,"","Goldstar Records",0.322,0.383,6,-8.458,0,0.0266,0.881,0,0.42,0.57,104.334,4
spotify:track:2VEC4sjL1GIIpWKum2fOMl,"You're Just In Love (From 'Call Me Madam')","The Real Perry Como","Perry Como;The Fontane Sisters",2011-12-02,176320,0,false,jmlemmon,2020-09-19T17:59:19Z,"christmas,adult standards","Columbia/Legacy",0.598,0.0896,2,-13.574,1,0.0455,0.955,0.00000137,0.145,0.563,150.515,4
spotify:track:44njowq2Kgw66EMGGo8YhJ,"Undecided (feat The Ames Brothers)","Les Brown and His Band of Renown: The Sound Exchange","Les Brown;The Ames Brothers",2006,179266,0,false,jmlemmon,2020-09-19T17:59:19Z,"big band,swing music,adult standards","Jasmine Records",0.759,0.441,8,-10.013,1,0.044,0.755,0,0.343,0.814,134.968,4
spotify:track:6oLvyfJXdwX4LRtJMyBXGk,"Blue Tango","Anderson, L.: Orchestral Music -Blue Tango / the Syncopated Clock / Belle of the Ball / Saraband / Sandpaper Ballet (Symphonic Pops)","Leroy Anderson;WDR Rundfunkorchester Köln;Pinchas Steinberg",1989-01-01,163773,0,false,jmlemmon,2020-09-19T18:00:24Z,"christmas,opera","Capriccio",0.477,0.228,2,-12.682,1,0.0296,0.992,0.942,0.129,0.507,130.12,4
spotify:track:74uuI8nGoIPIydD7oXF0O8,"Cry","Vintage Vocal Jazz / Swing No. 101 - EP: Walking And Crying","Johnnie Ray;The Four Lads",1958-04-01,137529,12,false,jmlemmon,2020-09-19T18:00:24Z,"vocal jazz,adult standards,doo-wop","Vintage Music",0.745,0.194,2,-9.692,1,0.0779,0.914,0,0.107,0.673,133.776,5
spotify:track:10QNAJog3sqyBN890ubQso,"You Belong To Me","The Best Of ""The Capitol Years""","Jo Stafford",1991-01-01,194173,50,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Capitol Records",0.238,0.143,5,-14.417,1,0.0342,0.953,0,0.116,0.165,68.696,3
spotify:track:4Z5BOVNa5mgFGLf16L5W7e,"Auf Wiederseh'n Sweetheart","We'll Meet Again, The Very Best Of Vera Lynn","Eberhard Storch;Vera Lynn;Sailors, Soldiers & Airmen of Her Majesty's Forces",2009-01-01,156653,20,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Decca (UMO)",0.375,0.192,8,-13.354,1,0.0367,0.938,0.00000164,0.153,0.232,111.223,4
spotify:track:5vIe5BmOlPXarqRxJh9FNE,"Half As Much (with Percy Faith & His Orchestra)","The Essential Rosemary Clooney","Rosemary Clooney;Percy Faith & His Orchestra",2004-08-31,166373,21,false,jmlemmon,2020-09-19T18:00:24Z,"vocal jazz,big band,orchestral","Columbia/Legacy",0.277,0.189,10,-12.424,1,0.0329,0.944,0,0.232,0.208,86.655,1
spotify:track:1FKI2zdazbVqTWpE5bWmzo,"Wish You Were Here - Remastered","Greatest Hits","Eddie Fisher",2001-08-06,175306,6,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","RCA Records Label",0.432,0.165,7,-12.289,1,0.0336,0.881,0.000111,0.229,0.171,104.346,4
spotify:track:6orvUXwOv2xWweaQA9uV79,"I Went To Your Wedding","Patti Page's Greatest Hits","Patti Page",1982-11-23,178933,14,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Columbia",0.388,0.213,0,-15.224,1,0.0334,0.837,0,0.275,0.289,92.411,3
spotify:track:5bETzPVHt11c82M57szEJV,"Here In My Heart","The Very Best Of Al Martino","Al Martino",2006-04-03,182560,17,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards,easy listening","CAPITOL CATALOG MKT (C92)",0.21,0.271,1,-9.598,1,0.033,0.672,0.341,0.339,0.228,61.278,4
spotify:track:2I72eh7OeEqBieQJF8DUue,"Kiss of Fire","Georgia Gibbs","Georgia Gibbs",1954-01-01,150382,0,false,jmlemmon,2020-09-19T18:00:24Z,"","Divas Of Music",0.511,0.546,11,-4.184,0,0.0382,0.891,0,0.196,0.727,106.854,4
spotify:track:3j1o0rONh8IG7wOl4mdKaN,"Anytime - Remastered","Greatest Hits","Eddie Fisher",2001-08-06,155493,12,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","RCA Records Label",0.615,0.124,1,-11.334,1,0.0276,0.971,0.00000152,0.188,0.449,105.321,4
spotify:track:33FiJdNiWACHYd5yk0en35,"The Blacksmith Blues","Capitol Collectors Series","Ella Mae Morse;Freddie Slack And His Orchestra",1992-01-01,186760,10,false,jmlemmon,2020-09-19T18:00:24Z,"boogie-woogie,swing music,rockabilly,big band","Capitol Records",0.838,0.294,10,-11.298,1,0.0453,0.498,0.00000224,0.21,0.806,127.659,4
spotify:track:5FUl8q4cwUJBfSMQ2aZgHF,"Botch-A-Me (Ba-Ba-Baciami Piccina)","Mad Men (Music from the Original TV Series), Vol. 1","Rosemary Clooney",2007-09-25,138413,0,false,jmlemmon,2020-09-19T18:00:24Z,"vocal jazz,big band","Lions Gate Records",0.643,0.75,0,-5.464,1,0.0815,0.831,0,0.152,0.937,148.785,4
spotify:track:4i0CvKmgPe4WYKv30sSAbe,"A Guy Is a Guy","The Essential Doris Day","Doris Day",2014-03-21,159986,10,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards,big band","Columbia/Legacy",0.737,0.303,2,-13.077,1,0.0451,0.906,0,0.129,0.786,120.162,4
spotify:track:5QWFPSacjvNskl4KekI3Td,"High Noon (Do Not Forsake Me)","Hell Bent For Leather!","Frankie Laine",1961-03-20,144266,22,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Columbia/Legacy",0.455,0.213,3,-16.277,1,0.0308,0.769,0,0.107,0.541,79.836,4
spotify:track:6eavbb9aFZil4dHGGZ8dGk,"I'm Yours","Greatest Hits","Eddie Fisher",2001-08-06,169600,10,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","RCA Records Label",0.219,0.211,2,-8.75,1,0.0327,0.809,0,0.39,0.362,76.441,4
spotify:track:7fWwqPoQaf6bq4G5p5Zji3,"The Glow Worm - Single Version","All Time Greatest Hits","The Mills Brothers",1997-01-01,159400,13,false,jmlemmon,2020-09-19T18:00:24Z,"big band,adult standards,swing music","Geffen",0.731,0.313,0,-9.807,1,0.0396,0.746,0,0.312,0.879,75.325,4
spotify:track:0h45YvcNfRRpf5D34vVgOr,"Slow Poke","Nippers 50's-Vol.1","Pee Wee King & His Golden West Cowboys",1988-10-18,180560,17,false,jmlemmon,2020-09-19T18:00:24Z,"traditional country","RCA Records Label",0.756,0.175,7,-15.094,1,0.138,0.732,0.00000247,0.0737,0.783,133.907,4
spotify:track:6JUygdnYt24lSMdXqlfSCt,"Walkin' My Baby Back Home","16 Most Requested Songs","Johnnie Ray",1991-09-03,140306,28,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Legacy/Columbia",0.718,0.0558,2,-19.227,1,0.109,0.949,0,0.0916,0.598,128.949,5
spotify:track:45tjr3owoB9mF8hp0oURC6,"Meet Mister Callaghan","We're Listening to Les Paul & Mary Ford, Vol. 6","Les Paul & Mary Ford",2013-10-30,111800,0,false,jmlemmon,2020-09-19T18:00:24Z,"big band","Top Tracks",0.613,0.321,3,-12.062,1,0.0456,0.792,0.402,0.0984,0.845,122.321,4
spotify:track:5IMHJFmezONtZgtWOgmxUj,"I'll Walk Alone (Rerecorded)","His Very Best (Rerecorded Version)","Don Cornell",2014-10-23,184053,1,false,jmlemmon,2020-09-19T18:00:24Z,"","K-Tel",0.347,0.278,0,-10.784,1,0.0289,0.789,0.000888,0.0647,0.216,66.085,3
spotify:track:1pA3GbgbvszFo1y37CAtJz,"Tell Me Why","Flying Home - Christmas with You","Eddie Fisher",2017-11-21,157786,0,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Nagel Heyer Records",0.407,0.186,0,-9.478,1,0.0334,0.954,0,0.36,0.376,174.099,4
spotify:track:46bUp8zaS1eMJTU3Hp41yS,"Trying","Only You","The Hilltoppers",2011-06-01,183013,0,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards,doo-wop","Pegasus Entertainment",0.423,0.124,8,-13.002,1,0.035,0.983,0,0.366,0.343,97.302,4
spotify:track:5RCEwNWuuF8RllEZn4fazn,"Please, Mr. Sun","I Cry For You","Johnnie Ray",1955-04-09,177840,34,false,jmlemmon,2020-09-19T18:00:24Z,"adult standards","Legacy Recordings",0.524,0.19,4,-11.645,0,0.0342,0.965,0,0.112,0.196,61.504,3
spotify:track:1KMlhsBxRsdiPKNhxzc4iO,"The Song from 'moulin Rouge' (Where Is Your Heart)","Music From Hollywood","Percy Faith",2015-07-01,351559,36,false,jmlemmon,2020-09-19T18:01:08Z,"easy listening,adult standards","Crazy Warthog Media",0.172,0.381,2,-10.765,1,0.0367,0.885,0.896,0.0751,0.0761,122.41,5
spotify:track:7bs4wDnaX0z7BTeM6lTcYA,"(How Much Is That) Doggie In The Window","Golden Hits","Patti Page",1960-09-07,149626,6,false,jmlemmon,2020-09-19T18:01:08Z,"adult standards","Mercury Records",0.691,0.0734,7,-13.319,1,0.0434,0.843,0,0.105,0.675,126.103,4
spotify:track:70PXozsEK1wUHXnT72Wlxh,"I'm Walking Behind You - 2001 Remastered","Greatest Hits","Eddie Fisher",2001-08-06,184400,14,false,jmlemmon,2020-09-19T18:01:08Z,"adult standards","RCA Records Label",0.27,0.163,2,-10.784,1,0.0288,0.913,0,0.126,0.245,80.482,4
spotify:track:4LZfhQZrxlhWiKN97wEn8U,"You You You - Remastered","Radio Hits Of the '50s","The Ames Brothers",2006-07-18,172640,5,false,jmlemmon,2020-09-19T18:01:08Z,"adult standards","Legacy Recordings",0.338,0.294,4,-7.276,1,0.0297,0.879,0.000105,0.353,0.34,97.088,4
spotify:track:6qFMhW7m0DnQQPvEjWuhzj,"April In Portugal","Baxter's Best","Les Baxter",1960-05-01,165160,12,false,jmlemmon,2020-09-19T18:01:08Z,"exotica,lounge,adult standards,easy listening","Capitol Records",0.466,0.245,0,-14.049,1,0.0374,0.556,0.889,0.0989,0.615,105.257,4
spotify:track:4iyzrJ3qIGBvG8yl5dWHQ8,"No Other Love (with Henri René & His Orchestra and Chorus)","Perry Como's Greatest Hits","Perry Como;Henri René & His Orchestra and Chorus",1999-09-28,196373,8,false,jmlemmon,2020-09-19T18:01:08Z,"christmas,adult standards","RCA Records Label",0.303,0.187,0,-11.615,1,0.0295,0.89,0.00000274,0.101,0.23,90.486,4
spotify:track:3JoooxerB9w0K31fufYe7F,"Don't Let The Stars Get In Your Eyes","The Very Best Of Perry Como","Perry Como",2004-04-17,159906,3,false,jmlemmon,2020-09-19T18:01:08Z,"christmas,adult standards","RCA Records Label",0.859,0.452,8,-11.575,1,0.0439,0.734,0,0.108,0.965,122.497,4
spotify:track:049uxirFkHOefJ0yqPW8Kk,"I Believe","Frankie Laine's Greatest Hits","Frankie Laine",1958,130893,33,false,jmlemmon,2020-09-19T18:01:08Z,"adult standards","Columbia",0.402,0.159,1,-18.598,1,0.0306,0.977,0.0000176,0.155,0.282,67.796,4
spotify:track:28OFTSxTmCNj8O4hgyifjn,"Oh!","Jazz Collection","Pee Wee Hunt",2012-09-11,161093,10,false,jmlemmon,2020-09-19T18:01:08Z,"ragtime,big band,swing music","Rolled Gold Classics",0.814,0.12,10,-12.272,1,0.21,0.603,0.00108,0.0375,0.807,124.664,4
spotify:track:0nQq0gmq7gcOWyLGrtqu8Z,"Pretend","The Ultimate Collection","Nat King Cole",2008-01-01,165240,0,false,jmlemmon,2020-09-19T18:01:08Z,"christmas,adult standards,vocal jazz","Capitol Records",0.37,0.169,10,-16.673,1,0.0331,0.938,0.00000177,0.103,0.291,83.265,4
spotify:track:5nd60X8U2tF8HghyKzsWSV,"Ruby","The Richard Hayman Collection","Richard Hayman",2014-04-14,178306,6,false,jmlemmon,2020-09-19T18:01:08Z,"exotica","Acrobat",0.198,0.34,4,-10.46,0,0.0308,0.53,0.642,0.176,0.266,80.762,4
spotify:track:4oyyTdYUMJ9OkOew5XpvlM,"St. George and the Dragonet","Stan Freberg – the Unforgettable","Stan Freberg",2015-08-18,203383,0,false,jmlemmon,2020-09-19T18:01:08Z,"comedy","Evergreen",0.727,0.247,7,-13.421,1,0.871,0.767,0,0.0409,0.588,110.261,4
spotify:track:1ld8E5uT27AmUdnlgnufLh,"From The Vine Came The Grape","Pieces","The Hilltoppers",2012-08-15,183800,0,false,jmlemmon,2020-09-19T18:01:08Z,"","Basti",0.517,0.257,1,-9.176,1,0.049,0.938,0,0.243,0.579,160.151,4
