track_id,artists,album_name,track_name,duration_ms,explicit
2021-01-001,Mariah Carey,Merry Christmas,All I Want For Christmas Is You,239000,false
2021-01-002,Brenda Lee,Christmas Cookies,Rockin' Around The Christmas Tree,126000,false
2021-01-003,Bobby Helms,Jingle Bells,Jingle Bell Rock,130000,false
2021-01-004,Burl Ives,Have A Holly Jolly Christmas,A Holly Jolly Christmas,128000,false
2021-01-005,Andy Williams,The Andy Williams Christmas Album,It's The Most Wonderful Time Of The Year,151000,false
2021-01-006,Jose Feliciano,Feliz Navidad,Feliz Navidad,182000,false
2021-01-007,24kGoldn Featuring iann dior,El Dorado,Mood,140000,true
2021-01-008,Dean Martin,Let It Snow,"Let It Snow, Let It Snow, Let It Snow",116000,false
2021-01-009,Wham!,LAST CHRISTMAS,Last Christmas,264000,false
2021-01-010,Chuck Berry,Rock 'N' Roll Rarities,Run Rudolph Run,162000,false
2021-01-011,Nat King Cole,The Christmas Song,The Christmas Song (Merry Christmas To You),190000,false
2021-01-012,Kelly Clarkson,Wrapped In Red,Underneath The Tree,229000,false
2021-01-013,The Ronettes,A Christmas Gift For You From Phil Spector,Sleigh Ride,181000,false
2021-01-014,Ariana Grande,Positions,Positions,172000,false
2021-01-015,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,Greatest Christmas Songs,It's Beginning To Look A Lot Like Christmas,155000,false
2021-01-016,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Rudolph The Red-Nosed Reindeer,187000,false
2021-01-017,Ariana Grande,Santa Tell Me,Santa Tell Me,203000,false
2021-01-018,Andy Williams,Christmas Album,Happy Holiday / The Holiday Season,156000,false
2021-01-019,Darlene Love,A Christmas Gift For You From Phil Spector,Christmas (Baby Please Come Home),166000,false
2021-01-020,Bing Crosby,The Polar Express (Original Motion Picture Soundtrack),White Christmas,184000,false
2021-01-021,Justin Bieber Featuring Chance The Rapper,Holy,Holy,212000,false
2021-01-022,Perry Como With Mitchell Ayers And His Orchestra,A Perry Como Christmas,(There's No Place Like) Home For The Holidays (1959),178000,false
2021-01-023,Michael Buble,100 Greatest Christmas Songs Ever,It's Beginning To Look A Lot Like Christmas,206000,false
2021-01-024,Chris Brown & Young Thug,Slime & B,Go Crazy,176000,true
2021-01-025,Drake Featuring Lil Durk,Laugh Now Cry Later,Laugh Now Cry Later,261000,true
2021-01-026,Gene Autry,The Essential Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),150000,false
2021-01-027,Dua Lipa,Future Nostalgia,Levitating,203000,false
2021-01-028,Paul McCartney,McCartney II (Archive Edition),Wonderful Christmastime,227000,false
2021-01-029,Pop Smoke Featuring Lil Baby & DaBaby,Shoot For The Stars Aim For The Moon,For The Night,190000,true
2021-01-030,Gabby Barrett Featuring Charlie Puth,I Hope,I Hope,209000,false
2021-01-031,Internet Money & Gunna Featuring Don Toliver & NAV,B4 The Storm,Lemonade,195000,true
2021-01-032,Thurl Ravenscroft,How The Grinch Stole Christmas,"You're A Mean One, Mr. Grinch",176000,false
2021-01-033,Elvis Presley,Blue Christmas,Blue Christmas,128000,false
2021-01-034,Bad Bunny & Jhay Cortez,DÁKITI,Dakiti,205000,true
2021-01-035,Megan Thee Stallion,Good News,Body,171000,true
2021-01-036,Bing Crosby & The Andrews Sisters,White Christmas,Mele Kalikimaka (Merry Christmas),169000,false
2021-01-037,AJR,Bang!,Bang!,171000,false
2021-01-038,Taylor Swift,evermore (deluxe version),Willow,214000,false
2021-01-039,Donny Hathaway,A Donny Hathaway Collection,This Christmas,231000,false
2021-01-040,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,34+35 (Remix),34+35,182000,true
2021-01-041,Ava Max,Kings & Queens,Kings & Queens,162000,false
2021-01-042,Billie Eilish,Happier Than Ever,Therefore I Am,174000,false
2021-01-043,Nat King Cole,Nat King Cole - Christmas songs,Deck The Halls,64000,false
2021-01-044,BTS,Dynamite (NightTime Version),Dynamite,199000,false
2021-01-045,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),Please Come Home For Christmas,177000,false
2021-01-046,Jackson 5,Ultimate Christmas Collection,Santa Claus Is Comin' To Town,143000,false
2021-01-047,The Beach Boys,Christmas With The Beach Boys,Little Saint Nick,120000,false
