track_id,artists,album_name,track_name,duration_ms,explicit
2023-01-001,Mariah Carey,Merry Christmas,All I Want For Christmas Is You,239000,false
2023-01-002,Brenda Lee,Christmas Cookies,Rockin' Around The Christmas Tree,126000,false
2023-01-003,Bobby Helms,Jingle Bells,Jingle Bell Rock,130000,false
2023-01-004,Wham!,LAST CHRISTMAS,Last Christmas,264000,false
2023-01-005,Burl Ives,Have A Holly Jolly Christmas,A Holly Jolly Christmas,128000,false
2023-01-006,Andy Williams,The Andy Williams Christmas Album,It's The Most Wonderful Time Of The Year,151000,false
2023-01-007,Jose Feliciano,Feliz Navidad,Feliz Navidad,182000,false
2023-01-008,Taylor Swift,Midnights,Anti-Hero,200000,false
2023-01-009,Nat King Cole,The Christmas Song,The Christmas Song (Merry Christmas To You),190000,false
2023-01-010,Sam Smith & Kim Petras,Unholy,Unholy,157000,false
2023-01-011,SZA,SOS,Kill Bill,153000,false
2023-01-012,Ariana Grande,Santa Tell Me,Santa Tell Me,203000,false
2023-01-013,The Ronettes,A Christmas Gift For You From Phil Spector,Sleigh Ride,181000,false
2023-01-014,Kelly Clarkson,Wrapped In Red,Underneath The Tree,229000,false
2023-01-015,Darlene Love,A Christmas Gift For You From Phil Spector,Christmas (Baby Please Come Home),166000,false
2023-01-016,Bing Crosby,The Polar Express (Original Motion Picture Soundtrack),White Christmas,184000,false
2023-01-017,Nat King Cole,Nat King Cole - Christmas songs,Deck The Halls,64000,false
2023-01-018,Dean Martin,Let It Snow,"Let It Snow, Let It Snow, Let It Snow",116000,false
2023-01-019,David Guetta & Bebe Rexha,I’m Good (Blue) (The Complete Collection),I'm Good (Blue),175000,true
2023-01-020,Frank Sinatra,Christmas,Jingle Bells,117000,false
2023-01-021,Drake & 21 Savage,Her Loss,Rich Flex,239000,true
2023-01-022,"Metro Boomin, The Weeknd & 21 Savage",HEROES & VILLAINS,Creepin',221000,true
2023-01-023,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,Greatest Christmas Songs,It's Beginning To Look A Lot Like Christmas,155000,false
2023-01-024,Elvis Presley,Blue Christmas,Blue Christmas,128000,false
2023-01-025,Michael Buble,100 Greatest Christmas Songs Ever,It's Beginning To Look A Lot Like Christmas,206000,false
2023-01-026,The Weeknd,Starboy,Die For You,260000,false
2023-01-027,Gene Autry,The Essential Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),150000,false
2023-01-028,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Rudolph The Red-Nosed Reindeer,187000,false
2023-01-029,The Beach Boys,Christmas With The Beach Boys,Little Saint Nick,120000,false
2023-01-030,Steve Lacy,Bad Habit,Bad Habit,232000,true
2023-01-031,Harry Styles,As It Was,As It Was,167000,false
2023-01-032,Chuck Berry,Rock 'N' Roll Rarities,Run Rudolph Run,162000,false
2023-01-033,Paul McCartney,McCartney II (Archive Edition),Wonderful Christmastime,227000,false
2023-01-034,Jackson 5,Ultimate Christmas Collection,Santa Claus Is Comin' To Town,143000,false
2023-01-035,Thurl Ravenscroft,How The Grinch Stole Christmas,"You're A Mean One, Mr. Grinch",176000,false
2023-01-036,Eartha Kitt With Henri Rene And His Orchestra,Heavenly Eartha,Santa Baby,206000,false
2023-01-037,Donny Hathaway,A Donny Hathaway Collection,This Christmas,231000,false
2023-01-038,Beyonce,RENAISSANCE,Cuff It,225000,true
2023-01-039,Chris Brown,Indigo (Extended),Under The Influence,184000,true
2023-01-040,Andy Williams,Christmas Album,Happy Holiday / The Holiday Season,156000,false
2023-01-041,Perry Como With Mitchell Ayers And His Orchestra,A Perry Como Christmas,(There's No Place Like) Home For The Holidays (1959),178000,false
2023-01-042,Zach Bryan,American Heartbreak,Something In The Orange,254000,false
2023-01-043,Eagles,Please Come Home for Christmas / Funky New Year (2013 Remaster),Please Come Home For Christmas,177000,false
2023-01-044,Ed Sheeran & Elton John,Merry Christmas,Merry Christmas,208000,false
2023-01-045,Meghan Trainor,Takin' It Back,Made You Look,134000,false
2023-01-046,Morgan Wallen,One Thing At A Time,You Proof,157000,false
2023-01-047,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Signature Box,Happy Xmas (War Is Over),216000,false
2023-01-048,Michael Buble,Christmas (Deluxe 10th Anniversary Edition),Have Yourself A Merry Little Christmas,232000,false
2023-01-049,JVKE,golden hour,Golden Hour,209000,false
2023-01-050,Vince Guaraldi Trio,Tales from Christmas (A Musical Experience),Christmastime Is Here,363000,false
2023-01-051,Nicki Minaj,Super Freaky Girl,Super Freaky Girl,171000,true
2023-01-052,SZA,Shirt,Shirt,181000,true
2023-01-053,Lil Uzi Vert,Just Wanna Rock,Just Wanna Rock,123000,true
2023-01-054,GloRilla & Cardi B,"Anyways, Life’s Great…",Tomorrow 2,209000,true
2023-01-055,"Metro Boomin, Future & Chris Brown",HEROES & VILLAINS,Superhero (Heroes & Villains),182000,true
2023-01-056,Kane Brown With Katelyn Brown,Different Man,Thank God,175000,false
2023-01-057,Rihanna,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Lift Me Up,197000,false
2023-01-058,Stephen Sanchez,Until I Found You,Until I Found You,177000,false
2023-01-059,SZA,SOS,Nobody Gets Me,181000,true
2023-01-060,Lizzo,Someday at Christmas,Someday At Christmas,177000,false
2023-01-061,Bailey Zimmerman,Rock and A Hard Place,Rock And A Hard Place,207000,false
2023-01-062,Nengo Flow & Bad Bunny,Gato de Noche,Gato de Noche,227000,true
2023-01-063,Jax,Victoria’s Secret,Victoria's Secret,176000,true
2023-01-064,Taylor Swift,Midnights,Lavender Haze,202000,true
2023-01-065,SZA,SOS,Low,181000,true
2023-01-066,Jelly Roll,Ballads of the Broken,Son Of A Sinner,232000,false
2023-01-067,SZA,SOS,Blind,150000,true
2023-01-068,Jordan Davis,What My World Spins Around,What My World Spins Around,186000,false
2023-01-069,HARDY Featuring Lainey Wilson,the mockingbird & THE CROW,Wait In The Truck,277000,false
2023-01-070,Luke Combs,Growin' Up,"Going, Going, Gone",177000,false
2023-01-071,Lainey Wilson,Bell Bottom Country,Heart Like A Truck,199000,false
2023-01-072,Lauren Spencer-Smith,Last First Christmas,Last Christmas,187000,false
2023-01-073,Kane Brown,Blue Christmas,Blue Christmas,128000,false
2023-01-074,SZA,SOS,Snooze,201000,true
2023-01-075,RAYE Featuring 070 Shake,Escapism. / The Thrill Is Gone.,Escapism,272000,true
2023-01-076,Kelly Clarkson & Ariana Grande,When Christmas Comes Around...,"Santa, Can't You Hear Me",242000,false
2023-01-077,SZA,SOS,Love Language,181000,true
2023-01-078,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),Star Walkin' (League Of Legends Worlds Anthem),211000,true
2023-01-079,Rema & Selena Gomez,Calm Down,Calm Down,239000,false
2023-01-080,Nate Smith,Whiskey On You,Whiskey On You,183000,false
2023-01-081,SZA,SOS,Seek & Destroy,203000,true
2023-01-082,Elton John & Britney Spears,Hold Me Closer,Hold Me Closer,202000,false
2023-01-083,Carin Leon X Grupo Frontera,Que Vuelvas,Que Vuelvas,169000,false
2023-01-084,Metro Boomin Featuring Don Toliver & Future,HEROES & VILLAINS,Too Many Nights,199000,true
2023-01-085,Drake & 21 Savage,Her Loss,Spin Bout U,214000,true
2023-01-086,SZA Featuring Don Toliver,SOS,Used,146000,false
2023-01-087,d4vd,Romantic Homicide,Romantic Homicide,132000,false
2023-01-088,Drake & 21 Savage,Her Loss,Circo Loco,237000,true
2023-01-089,SZA Featuring Phoebe Bridgers,SOS,Ghost In The Machine,218000,true
2023-01-090,Jimmie Allen,down home,Down Home,201000,false
2023-01-091,Fuerza Regida X Grupo Frontera,Bebe Dame,Bebe Dame,271000,false
2023-01-092,SZA,SOS,Special,158000,true
2023-01-093,Grupo Frontera,No Se Va (En Vivo),No Se Va,193000,false
2023-01-094,Pentatonix Featuring Meghan Trainor,Holidays Around the World,Kid On Christmas,202000,false
2023-01-095,Morgan Wallen,One Thing At A Time,One Thing At A Time,206000,false
2023-01-096,Gabby Barrett,Pick Me Up,Pick Me Up,169000,false
2023-01-097,SZA,SOS,SOS,117000,true
2023-01-098,Lewis Capaldi,Forget Me,Forget Me,203000,false
2023-01-099,Arcangel & Bad Bunny,La Jumpa,La Jumpa,255000,true
2023-01-100,SZA,SOS,Gone Girl,244000,true
2023-02-001,Miley Cyrus,Flowers,Flowers,200000,false
2023-02-002,SZA,SOS,Kill Bill,153000,false
2023-02-003,Taylor Swift,Midnights,Anti-Hero,200000,false
2023-02-004,"Metro Boomin, The Weeknd & 21 Savage",HEROES & VILLAINS,Creepin',221000,true
2023-02-005,Sam Smith & Kim Petras,Unholy,Unholy,157000,false
2023-02-006,David Guetta & Bebe Rexha,I’m Good (Blue) (The Complete Collection),I'm Good (Blue),175000,true
2023-02-007,The Weeknd,Starboy,Die For You,260000,false
2023-02-008,Drake & 21 Savage,Her Loss,Rich Flex,239000,true
2023-02-009,Harry Styles,As It Was,As It Was,167000,false
2023-02-010,JVKE,golden hour,Golden Hour,209000,false
2023-02-011,Zach Bryan,American Heartbreak,Something In The Orange,254000,false
2023-02-012,Lil Uzi Vert,Just Wanna Rock,Just Wanna Rock,123000,true
2023-02-013,Bizarrap & Shakira,"Shakira: Bzrp Music Sessions, Vol. 53/66","Bzrp Music Sessions, Vol. 53",214000,false
2023-02-014,Meghan Trainor,Takin' It Back,Made You Look,134000,false
2023-02-015,Beyonce,RENAISSANCE,Cuff It,225000,true
2023-02-016,Chris Brown,Indigo (Extended),Under The Influence,184000,true
2023-02-017,Steve Lacy,Bad Habit,Bad Habit,232000,true
