track_id,artists,album_name,track_name,duration_ms,explicit
2019-01-001,Ariana Grande,"thank u, next","Thank U, Next",206000,true
2019-01-002,Halsey,Manic,Without Me,201000,true
2019-01-003,Mariah Carey,Merry Christmas,All I Want For Christmas Is You,239000,false
2019-01-004,Travis Scott,ASTROWORLD,Sicko Mode,313000,true
2019-01-005,Post Malone & Swae Lee,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Sunflower (Spider-Man: Into The Spider-Verse),158000,false
2019-01-006,Panic! At The Disco,Pray for the Wicked,High Hopes,190000,false
2019-01-007,Marshmello & Bastille,Happier,Happier,214000,false
2019-01-008,Bobby Helms,Jingle Bells,Jingle Bell Rock,130000,false
2019-01-009,Brenda Lee,Christmas Cookies,Rockin' Around The Christmas Tree,126000,false
2019-01-010,Burl Ives,Have A Holly Jolly Christmas,A Holly Jolly Christmas,128000,false
2019-01-011,Nat King Cole,The Christmas Song,The Christmas Song (Merry Christmas To You),190000,false
2019-01-012,Lil Baby & Gunna,Drip Harder,Drip Too Hard,146000,true
2019-01-013,Andy Williams,The Andy Williams Christmas Album,It's The Most Wonderful Time Of The Year,151000,false
2019-01-014,Maroon 5 Featuring Cardi B,Girls Like You,Girls Like You,236000,true
2019-01-015,Kodak Black Featuring Travis Scott & Offset,ZEZE (feat. Travis Scott & Offset),ZEZE,228000,true
2019-01-016,Gene Autry,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Rudolph The Red-Nosed Reindeer,187000,false
2019-01-017,Sheck Wes,MUDBOY,Mo Bamba,181000,true
2019-01-018,Gucci Mane X Bruno Mars X Kodak Black,Wake Up in the Sky,Wake Up In The Sky,204000,true
2019-01-019,Cardi B,Money,Money,183000,true
2019-01-020,Dean Martin,Let It Snow,"Let It Snow, Let It Snow, Let It Snow",116000,false
2019-01-021,"benny blanco, Halsey & Khalid",Eastside,Eastside,173000,false
2019-01-022,Ariana Grande,Sweetener,Breathin,198000,true
2019-01-023,Post Malone,beerbongs & bentleys,Better Now,230000,true
2019-01-024,5 Seconds Of Summer,Youngblood,Youngblood,203000,false
2019-01-025,Wham!,LAST CHRISTMAS,Last Christmas,264000,false
2019-01-026,The Ronettes,A Christmas Gift For You From Phil Spector,Sleigh Ride,181000,false
2019-01-027,Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,239000,true
2019-01-028,Gene Autry,The Essential Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),150000,false
2019-01-029,Jose Feliciano,Feliz Navidad,Feliz Navidad,182000,false
2019-01-030,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Carte Blanche,Taki Taki,213000,true
2019-01-031,Bad Bunny Featuring Drake,X 100PRE,MIA,210000,false
2019-01-032,Perry Como With Mitchell Ayers And His Orchestra,A Perry Como Christmas,(There's No Place Like) Home For The Holidays (1959),178000,false
2019-01-033,Flipp Dinero,LOVE FOR GUALA,Leave Me Alone,196000,true
2019-01-034,Bing Crosby,The Polar Express (Original Motion Picture Soundtrack),White Christmas,184000,false
2019-01-035,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,Greatest Christmas Songs,It's Beginning To Look A Lot Like Christmas,155000,false
2019-01-036,Meek Mill Featuring Drake,Championships,Going Bad,180000,true
2019-01-037,21 Savage,i am > i was,A Lot,290000,true
2019-01-038,Ella Mai,Ella Mai,Trip,217000,false
2019-01-039,"Cardi B, Bad Bunny & J Balvin",Invasion of Privacy,I Like It,253000,true
2019-01-040,Elvis Presley,Blue Christmas,Blue Christmas,128000,false
2019-01-041,Dan + Shay,Speechless,Speechless,212000,false
2019-01-042,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Signature Box,Happy Xmas (War Is Over),216000,false
2019-01-043,Darlene Love,A Christmas Gift For You From Phil Spector,Christmas (Baby Please Come Home),166000,false
2019-01-044,Kelly Clarkson,Wrapped In Red,Underneath The Tree,229000,false
2019-01-045,Chuck Berry,Rock 'N' Roll Rarities,Run Rudolph Run,162000,false
2019-01-046,Imagine Dragons,Origins (Deluxe),Natural,189000,false
2019-01-047,Post Malone,Wow.,Wow.,150000,true
2019-01-048,Khalid & Normani,Love Lies,Love Lies,201000,true
2019-01-049,Frank Sinatra,Christmas,Jingle Bells,117000,false
2019-01-050,Bazzi Featuring Camila Cabello,Beautiful,Beautiful,178000,false
2019-01-051,Khalid,Better,Better,229000,true
2019-01-052,Lady Gaga & Bradley Cooper,A Star Is Born Soundtrack,Shallow,216000,false
2019-01-053,Katy Perry,Cozy Little Christmas,Cozy Little Christmas,182000,false
2019-01-054,Luke Combs,This One's for You Too (Deluxe Edition),She Got The Best Of Me ,185000,false
2019-01-055,Lauren Daigle,Behold: The Complete Set,The Christmas Song,269000,false
2019-01-056,Lil Wayne,Tha Carter V,Uproar,194000,true
2019-01-057,A Boogie Wit da Hoodie Featuring 6ix9ine,Hoodie SZN,Swervin,189000,true
