billboard_id,track_id,Track Name,Artist Name(s),Release Date,Duration (ms),Explicit,Genres,Danceability,Energy,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2022-01-001,0bYg9bo50gSsH3LtXe2SQn,all i want for christmas is you,mariah carey,1994-10-28,241562,false,christmas,0.336,0.627,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
2022-01-002,2EjXfH91m7f8HiJN1yQg97,rockin' around the christmas tree,brenda lee,1964-10-19,126266,false,christmas,0.598,0.47,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
2022-01-003,7vQbuQcyTflfCIOu3Uzzya,jingle bell rock,bobby helms,1957-12-02,130973,false,christmas,0.754,0.424,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
2022-01-004,77khP2fIVhSW23NwxrRluh,a holly jolly christmas,burl ives,1965-10-01,135533,false,christmas,0.682,0.375,-13.056,1,0.0303,0.579,0,0.076,0.888,140.453,4
2022-01-005,0gplL1WMoJ6iYaPgMCL0gX,easy on me,adele,2021-10-14,224694,false,soft pop,0.604,0.366,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,4
2022-01-007,2FRnf9qhLbvw8fu4IBXx78,last christmas,wham!,1984-11-29,262960,false,christmas,0.735,0.478,-12.472,1,0.0293,0.189,0.00000248,0.355,0.947,107.682,4
2022-01-015,3USxtqRwSYz57Ewm6wWRMp,heat waves,glass animals,2020-08-07,238805,false,,0.761,0.525,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87,4
2022-01-023,50nfwKoDiSYg8zOCREWAm5,shivers,ed sheeran,2021-10-25,207853,false,soft pop,0.788,0.859,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,4
2022-01-024,3Vi5XqYrmQgOYBajMWSvCi,need to know,doja cat,2021-06-25,210560,true,,0.664,0.609,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,4
2022-01-026,40G7ZcF9YkTppG7cFjCqnK,super gremlin,kodak black,2022-02-24,200547,false,,0.814,0.462,-4.963,1,0.0946,0.00651,0,0.349,0.102,72.98,4
2022-01-031,6PQ88X9TkUIAUIZJHW2upE,bad habits,ed sheeran,2021-06-25,231041,false,soft pop,0.808,0.897,-3.712,0,0.0348,0.0469,0.0000314,0.364,0.591,126.026,4
2022-01-032,3xVZYkcuWalGudeKl861wb,smokin out the window,bruno mars;anderson .paak;silk sonic,2021-11-11,197442,false,,0.627,0.618,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,4
2022-01-038,4ZtFanR9U6ndgddUvNcjcG,good 4 u,olivia rodrigo,2021-05-21,178146,true,,0.563,0.664,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,4
2022-01-039,5dPz35akJjPqb17yeqNwqH,ghost,justin bieber,2021-03-19,153190,false,,0.604,0.741,-5.571,1,0.0475,0.178,0.0000349,0.409,0.473,153.947,4
2022-01-042,5dXWFMwD7I7zXsInONVl0H,i hate u,sza,2021-12-03,174000,true,r&b,0.535,0.388,-9.805,0,0.155,0.507,0,0.11,0.412,106.703,5
2022-01-045,3ZozFqJJlDBNIm4xqxn2ZD,fancy like,walker hayes,2021-06-04,161853,false,country,0.649,0.76,-6.487,1,0.0574,0.114,0,0.317,0.843,80.018,4
2022-01-049,3egamOji0THEWgIOnAN2LX,thats what i want,lil nas x,2021-09-17,143901,false,,0.654,0.871,-4.547,0,0.348,0.00765,0,0.052,0.608,176.17,4
2022-01-051,4RVwu0g32PAqgUiJoXsdF8,happier than ever,billie eilish,2021-07-30,298899,true,,0.332,0.225,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3
2022-01-052,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),ckay,2019-08-30,145800,true,"afrobeats,afrobeat,afro r&b,afropop",0.727,0.739,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,4
2022-01-057,3Kkjo3cT83cw09VJyrLNwX,oh my god,adele,2021-11-19,225148,false,soft pop,0.534,0.725,-3.906,1,0.046,0.091,0,0.0264,0.55,88.098,4
2022-01-059,69AIpwGNLxr4qS1X5ynx60,buy dirt,jordan davis;luke bryan,2021-05-21,167480,false,"country,pop country,acoustic country",0.586,0.559,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,4
2022-01-060,374MrggHI4Ip6UwJkaQUBn,meet me at our spot,the anxiety;willow;tyler cole,2020-03-13,162680,false,,0.769,0.465,-8.06,1,0.0327,0.0161,0.000596,0.0854,0.396,94.997,4
2022-01-061,2UikqkwBv7aIvlixeVXHWt,you should probably leave,chris stapleton,2020-11-13,213493,false,"country,outlaw country",0.602,0.477,-8.425,1,0.032,0.268,0.000031,0.173,0.552,183.89,4
2022-01-066,0uRrG2jRR5tuifsYIJHEao,sand in my boots,morgan wallen,2021-01-08,202133,false,country,0.403,0.537,-6.628,1,0.031,0.59,0,0.112,0.414,69.877,4
2022-01-069,5lHxARJJrZc3ss4ZVmGWfz,big energy,latto,2021-09-24,173182,false,,0.935,0.81,-3.838,0,0.117,0.0401,0,0.349,0.787,106.028,4
2022-01-073,4FdPnT2cFrpWCmWZd7GXc3,one mississippi,kane brown,2021-08-20,213718,false,"country,pop country",0.471,0.846,-5.269,1,0.0389,0.00279,0.00000286,0.145,0.539,100.089,4
2022-01-076,2ds0pWAKDaq9yz3o6rexbk,woman,doja cat,2021-06-24,172626,false,,0.825,0.761,-4.188,0,0.0895,0.109,0.00339,0.119,0.881,107.983,4
2022-01-082,13rC4iKtfQocWIfzPOJxaT,'til you can't,cody johnson,2021-06-11,224773,false,"texas country,country,red dirt",0.505,0.814,-4.905,1,0.0439,0.0566,0,0.106,0.503,160.085,4
2022-02-001,52xJxFP6TqMuO4Yt0eOkMz,we don't talk about bruno,carolina gaitán - la gaita;mauro castillo;adassa;rhenzy feliz;diane guerrero;stephanie beatriz;encanto - cast,2021-11-19,216120,false,,0.577,0.45,-8.516,0,0.0834,0.357,0,0.111,0.83,205.863,4
2022-02-009,760jhRscwGbIIe1m1IIQpU,surface pressure,jessica darrow,2021-11-19,202226,false,,0.65,0.584,-8.286,1,0.307,0.0174,0.00000154,0.042,0.37,180.088,4
2022-02-017,39LLxExYz6ewLAcYrzQQyP,levitating,dua lipa,2020-03-27,203807,false,pop,0.695,0.884,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,4
2022-02-030,3yMC1KsTwh0ceXdIe4QQAQ,fingers crossed,lauren spencer smith,2022-01-05,175344,false,,0.56,0.473,-7.23,1,0.0533,0.618,0,0.31,0.441,109.414,4
2022-02-033,0k4d5YPDr1r7FX77VdqWez,you right,doja cat;the weeknd,2021-06-25,186173,true,,0.828,0.621,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,4
2022-02-041,5f3MXmTmstozFg0BH1yPUk,if i didn't love you,jason aldean;carrie underwood,2021-07-23,212030,false,"country,acoustic country",0.456,0.679,-4.802,1,0.0324,0.176,0,0.103,0.483,184.075,4
2022-02-055,77oKig47u34qCCFWKMfu1e,aa,walker hayes,2021-11-19,189560,false,country,0.635,0.747,-6.227,1,0.0293,0.00313,0,0.346,0.753,104.027,4
2022-02-076,4GyD3o5hWoyCuYpdlzZlRL,doin' this,luke combs,2021-11-10,254181,false,country,0.593,0.552,-5.838,1,0.028,0.18,0.0000171,0.11,0.39,115,4
2022-02-084,13G5xv1wUKvJYbK0wYmioN,circles around this town,maren morris,2022-01-07,195763,false,country,0.591,0.814,-4.986,1,0.0468,0.015,0,0.117,0.815,149.9,4
2022-02-085,6OGogr19zPTM4BALXuMQpF,take my breath,the weeknd,2021-08-06,220196,false,,0.748,0.74,-6.01,1,0.0484,0.0107,0.0000218,0.101,0.518,121.004,4
2022-03-017,1ri9ZUkBJVFUdgwzCnfcYs,mamiii,becky g;karol g,2022-02-10,226088,false,"reggaeton,latin,urbano latino",0.843,0.7,-3.563,0,0.0803,0.0934,0,0.14,0.899,93.991,4
2022-03-062,0IuVhCflrQPMGRrOyoY5RW,she's all i wanna be,tate mcrae,2022-02-04,206772,false,,0.614,0.644,-5.372,0,0.0426,0.0134,0.00000707,0.117,0.651,160.036,4
2022-03-065,59CfNbkERJ3NoTXDvoURjj,boyfriend,dove cameron,2022-02-11,153000,true,,0.345,0.612,-6.543,0,0.0608,0.232,0,0.194,0.232,179.773,3
2022-03-068,3o9kpgkIcffx0iSwxhuNI2,numb little bug,em beihold,2022-01-28,169237,false,,0.742,0.527,-6.892,0,0.0769,0.327,0,0.25,0.638,84.974,4
2022-03-088,2ccuOtUjIyx3tPcsnpeBzJ,flower shops,ernest;morgan wallen,2021-12-31,214405,false,country,0.527,0.461,-5.908,1,0.0269,0.118,0,0.0831,0.227,128.153,3
2022-03-098,4V5siYO9zHpLX5qf2F0qBV,get into it (yuh),doja cat,2021-06-24,138293,false,,0.92,0.639,-6.095,0,0.204,0.267,0.00012,0.0847,0.732,91.92,4
2022-04-025,12W3pDsHMFZIPzM9MXs7Qn,sweetest pie,megan thee stallion;dua lipa,2022-03-10,201334,false,pop,0.814,0.636,-7.172,0,0.226,0.132,0,0.1,0.69,123.977,4
2022-05-001,4LRPiXqCikLlN15c3yImP7,as it was,harry styles,2022-03-31,167303,false,,0.52,0.731,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
2022-05-002,3os9JEuXCDI2u8uoKi0xPY,first class,jack harlow,2022-05-05,173947,false,,0.9,0.585,-5.868,1,0.11,0.109,0.00000194,0.113,0.331,107.014,4
2022-05-025,1NuSpnS3CoKjCXzrphTTZx,in a minute,lil baby,2022-04-07,200470,false,,0.533,0.597,-5.995,0,0.361,0.0311,0,0.112,0.157,80.155,4
2022-05-027,3cBsEDNhFI9E82vPj3kvi3,wasted on you,morgan wallen,2021-01-08,178520,false,country,0.505,0.657,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196,3
2022-05-033,3HO30hRbkOLU6ZWERayfQO,trouble with a heartbreak,jason aldean,2022-04-22,196026,false,"country,acoustic country",0.582,0.797,-4.926,1,0.0334,0.23,0,0.132,0.595,135.973,4
2022-05-036,7dSZ6zGTQx66c2GF91xCrb,provenza,karol g,2022-04-22,210200,false,"reggaeton,latin,urbano latino",0.87,0.516,-8.006,1,0.0541,0.656,0.00823,0.11,0.53,111.005,4
2022-05-055,3WMj8moIAXJhHsyLaqIIHI,something in the orange,zach bryan,2022-04-22,228013,false,"country,red dirt",0.369,0.192,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,3
