billboard_id,artists,track_name
2020-01-029,Darlene Love,Christmas (Baby Please Come Home)
2020-01-049,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2020-01-078,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone
2020-01-083,Trippie Redd Featuring DaBaby,Death
2020-01-090,DaniLeigh Featuring Chris Brown,Easy
2020-02-078,BrockHampton,SUGAR
2020-02-085,JACKBOYS Featuring Young Thug,Out West
2020-02-086,Ingrid Andress,More Hearts Than Mine
2020-02-096,Kelsea Ballerini,homecoming queen?
2020-02-099,DaniLeigh Featuring Chris Brown,Easy
2020-03-069,JACKBOYS Featuring Young Thug,Out West
2020-03-070,Ingrid Andress,More Hearts Than Mine
2020-03-078,Garth Brooks & Blake Shelton,Dive Bar
2020-03-090,Kelsea Ballerini,homecoming queen?
2020-03-100,BrockHampton,SUGAR
2020-04-056,Ingrid Andress,More Hearts Than Mine
2020-04-065,Kelsea Ballerini,homecoming queen?
2020-04-078,JACKBOYS Featuring Young Thug,Out West
2020-04-095,Kelsea Ballerini x Halsey,The Other Girl
2020-05-030,Ingrid Andress,More Hearts Than Mine
2020-05-072,JACKBOYS Featuring Young Thug,Out West
2020-05-078,"NAV, Gunna & Travis Scott",Turks
2020-05-095,Regard,Ride It.
2020-06-071,JACKBOYS Featuring Young Thug,Out West
2020-06-075,Regard,Ride It.
2020-06-076,Agust D,Daechwita
2020-06-090,"NAV, Gunna & Travis Scott",Turks
2020-07-068,LOCASH,One Big Country Song
2020-07-087,Ashley McBryde,One Night Standards
2020-07-091,Chloe X Halle,Do It
2020-07-092,BRELAND,My Truck
2020-07-095,J.I The Prince Of N.Y,Need Me
2020-08-050,LOCASH,One Big Country Song
2020-08-091,Ashley McBryde,One Night Standards
2020-08-097,Topic & A7S,Breaking Me
2020-09-050,Conan Gray,Heather
2020-09-071,Topic & A7S,Breaking Me
2020-09-078,Jameson Rodgers,Some Girls
2020-09-079,Maluma & The Weeknd,Hawai
2020-09-080,Ashley McBryde,One Night Standards
2020-09-099,Mulatto,B*tch From da Souf
2020-10-043,Jameson Rodgers,Some Girls
2020-10-053,Topic & A7S,Breaking Me
2020-10-054,Conan Gray,Heather
2020-10-055,Maluma & The Weeknd,Hawai
2020-10-066,BLACKPINK X Selena Gomez,Ice Cream
2020-10-076,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion
2020-10-085,Chloe X Halle,Do It
2020-10-088,VEDO,You Got It
2020-10-091,Anitta Featuring Cardi B & Myke Towers,Me Gusta
2020-10-093,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas
2020-11-045,Jameson Rodgers,Some Girls
2020-11-064,Maluma & The Weeknd,Hawai
2020-11-071,Conan Gray,Heather
2020-11-079,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion
2020-11-087,Kelsea Ballerini,Hole In The Bottle
2020-11-088,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas
2020-11-095,Chloe X Halle,Do It
2020-11-098,Farruko,La Toxica
2020-12-035,Maluma & The Weeknd,Hawai
2020-12-087,Kelsea Ballerini,Hole In The Bottle
2020-12-093,Jameson Rodgers,Some Girls
