billboard_id,artists,track_name
2018-01-007,"Migos, Nicki Minaj & Cardi B",MotorSport
2018-01-059,YBN Nahmir,Rubbin Off The Paint
2018-01-064,Tay-K,The Race
2018-01-065,Huncho Jack Featuring Takeoff,Eye 2 Eye
2018-01-068,Huncho Jack,Modern Slavery
2018-01-071,Huncho Jack,Black & Chinese
2018-01-083,Huncho Jack Featuring Offset,Dubai Shit
2018-01-087,Huncho Jack,Huncho Jack
2018-01-088,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush
2018-01-090,Huncho Jack,Motorcycle Patches
2018-01-092,Huncho Jack,Saint
2018-01-097,Kelsea Ballerini,Legends
2018-02-043,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE
2018-02-066,Keala Settle & The Greatest Showman Ensemble,This Is Me
2018-02-081,Devin Dawson,All On Me
2018-02-089,"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",Best Friend
2018-02-093,Maluma X Nego do Borel,Corazon
2018-03-013,"Zedd, Maren Morris & Grey",The Middle
2018-03-065,SOB X RBE,Paramedic!
2018-03-075,Derez De'Shon,Hardaway
2018-03-086,Jacquees X DeJ Loaf,At The Club
2018-04-098,Trippie Redd Featuring Travis Scott,Dark Knight Dummo
2018-05-057,"Khalid, Ty Dolla $ign & 6LACK",OTW
2018-05-072,Sugarland Featuring Taylor Swift,Babe
2018-06-084,"Diplo, French Montana & Lil Pump Featuring Zhavia Ward",Welcome To The Party
2018-06-096,Bhad Bhabie Featuring Lil Yachty,Gucci Flip Flops
2018-08-062,Tiesto & Dzeko Featuring Preme & Post Malone,Jackie Chan
2018-08-075,lovelytheband,Broken
2018-09-057,Bryce Vine,Drew Barrymore
2018-09-073,Yella Beezy,That's On Me
2018-09-080,Trippie Redd,Taking A Walk
2018-10-071,"Labrinth, Sia & Diplo Present... LSD",Thunderclouds
2018-10-092,Pardison Fontaine Featuring Cardi B,Backin' It Up
2018-12-061,Trippie Redd,Topanga
2018-12-068,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle
2018-12-079,Anuel AA & Romeo Santos,Ella Quiere Beber
