billboard_id,artists,track_name
2022-01-016,Darlene Love,Christmas (Baby Please Come Home)
2022-01-034,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2022-01-067,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",Who Want Smoke??
2022-01-072,Blxst & Tyga Featuring Ty Dolla $ign,Chosen
2022-01-075,Chloe,Have Mercy
2022-01-097,Acraze Featuring Cherish,Do It To It
2022-02-056,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
2022-02-090,"Nardo Wick, Lil Baby & Future",Me Or Sum
2022-02-099,Emmy Meli,I Am Woman
2022-03-054,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods
2022-03-070,Fireboy DML & Ed Sheeran,Peru
2022-03-085,Tiesto & Ava Max,The Motto
2022-03-090,Alesso / Katy Perry,When I'm Gone
2022-04-050,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U
2022-04-084,AnnenMayKantereit & Giant Rooks,Tom's Diner
2022-04-092,Lucky Daye,Over
2022-04-097,Labrinth & Zendaya,I'm Tired
2022-04-099,BoyWithUke X blackbear,IDGAF
2022-05-057,"Southside, Travis Scott & Future",Hold That Heat
2022-05-084,Anitta,Envolver
2022-05-090,Yahritza y Su Esencia,Soy El Unico
2022-07-065,SleazyWorld Go Featuring Lil Baby,Sleazy Flow
2022-07-095,Hitkidd & GloRilla,F.N.F. (Let's Go)
2022-08-061,Ingrid Andress With Sam Hunt,Wishful Drinking
2022-08-070,Burna Boy,Last Last
2022-09-022,BLACKPINK,Pink Venom
2022-09-048,Nardo Wick,Dah Dah DahDah
2022-09-052,Jax,Victoria's Secret
2022-09-067,Rosalia,Despecha
2022-09-100,Manuel Turizo,La Bachata
2022-10-025,BLACKPINK,Shut Down
2022-10-034,d4vd,Romantic Homicide
2022-10-069,Armani White,Billie Eilish.
