billboard_id,artists,track_name
2016-01-053,DeJ Loaf Featuring Big Sean,Back Up
2016-01-056,Emily Ann Roberts,Burning House
2016-01-068,DLOW,Do It Like Me
2016-01-071,Jana Kramer,I Got The Boy
2016-01-073,LOCASH,I Love This Life
2016-01-075,Rudimental Featuring Ed Sheeran,Lay It All On Me
2016-01-087,Kelsea Ballerini,Dibs
2016-01-091,Granger Smith,Backroad Song
2016-01-092,Dawin,Dessert
2016-02-053,DLOW,Do It Like Me
2016-02-056,LOCASH,I Love This Life
2016-02-057,Granger Smith,Backroad Song
2016-02-059,Jana Kramer,I Got The Boy
2016-02-061,DeJ Loaf Featuring Big Sean,Back Up
2016-02-068,Dawin,Dessert
2016-02-071,Kelsea Ballerini,Dibs
2016-02-082,Empire Of The Sun,Walking On A Dream
2016-02-093,Rudimental Featuring Ed Sheeran,Lay It All On Me
2016-03-057,Granger Smith,Backroad Song
2016-03-060,Kelsea Ballerini,Dibs
2016-03-080,Troye Sivan,Youth
2016-03-097,DLOW,Do It Like Me
2016-03-099,LOCASH,I Love This Life
2016-03-100,Dawin,Dessert
2016-04-023,Troye Sivan,Youth
2016-04-073,Disturbed,The Sound Of Silence
2016-04-083,Belly Featuring The Weeknd,Might Not
2016-04-089,Granger Smith,Backroad Song
2016-04-093,Zendaya Featuring Chris Brown,Something New
2016-05-046,Disturbed,The Sound Of Silence
2016-05-049,Troye Sivan,Youth
2016-05-071,Belly Featuring The Weeknd,Might Not
2016-05-077,Dreezy Featuring Jeremih,Body
2016-05-080,MadeinTYO,Uber Everywhere
2016-06-066,Disturbed,The Sound Of Silence
2016-06-070,Dreezy Featuring Jeremih,Body
2016-06-071,MadeinTYO,Uber Everywhere
2016-06-080,Belly Featuring The Weeknd,Might Not
2016-07-051,MadeinTYO,Uber Everywhere
2016-07-065,Dreezy Featuring Jeremih,Body
2016-07-066,Disturbed,The Sound Of Silence
2016-07-072,Kelsea Ballerini,Peter Pan
2016-07-090,Jacob Sartorius,Sweatshirt
2016-07-096,Belly Featuring The Weeknd,Might Not
2016-08-059,Kelsea Ballerini,Peter Pan
2016-08-069,MadeinTYO,Uber Everywhere
2016-08-096,Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
2016-08-099,Dreezy Featuring Jeremih,Body
2016-09-042,Kungs vs Cookin' On 3 Burners,This Girl
2016-09-048,Kelsea Ballerini,Peter Pan
2016-09-066,Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
2016-09-077,MadeinTYO,Uber Everywhere
2016-09-081,Jacob Sartorius,Hit Or Miss
2016-09-097,Galantis,No Money
2016-10-031,Kungs vs Cookin' On 3 Burners,This Girl
2016-10-039,Kelsea Ballerini,Peter Pan
2016-10-068,Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
2016-10-085,LOCASH,I Know Somebody
2016-11-056,LOCASH,I Know Somebody
2016-11-067,Fitz And The Tantrums,HandClap
2016-11-075,Kungs vs Cookin' On 3 Burners,This Girl
2016-11-078,Frenship & Emily Warren,Capsize
2016-11-081,Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
2016-12-056,Pentatonix,Hallelujah
2016-12-059,Leonard Cohen,Hallelujah
2016-12-078,Fitz And The Tantrums,HandClap
2016-12-080,Frenship & Emily Warren,Capsize
2016-12-093,PIKOTARO,PPAP (Pen-Pineapple-Apple-Pen)
2016-12-099,Starley,Call On Me
