billboard_id,artists,track_name
2017-01-023,Pentatonix,Hallelujah
2017-01-045,Pentatonix,"Mary, Did You Know?"
2017-01-056,Auli'i Cravalho,How Far I'll Go
2017-01-077,Fitz And The Tantrums,HandClap
2017-01-086,Dwayne Johnson,You're Welcome
2017-02-054,Fitz And The Tantrums,HandClap
2017-02-067,Auli'i Cravalho,How Far I'll Go
2017-02-079,Starley,Call On Me
2017-02-085,KALEO,Way Down We Go
2017-02-091,Dwayne Johnson,You're Welcome
2017-03-070,Starley,Call On Me
2017-03-081,KALEO,Way Down We Go
2017-03-094,Kelsea Ballerini,Yeah Boy
2017-04-046,Auli'i Cravalho,How Far I'll Go
2017-04-075,Starley,Call On Me
2017-04-091,Kelsea Ballerini,Yeah Boy
2017-04-092,Dwayne Johnson,You're Welcome
2017-05-065,Auli'i Cravalho,How Far I'll Go
2017-05-081,Kelsea Ballerini,Yeah Boy
2017-05-083,Starley,Call On Me
2017-06-075,Rag'n'Bone Man,Human
2017-06-084,Kelsea Ballerini,Yeah Boy
2017-06-085,Midland,Drinkin' Problem
2017-06-093,Maluma,Felices Los 4
2017-07-065,Maluma,Felices Los 4
2017-07-067,Midland,Drinkin' Problem
2017-07-089,Wisin Featuring Ozuna,Escapate Conmigo
2017-08-048,Maluma,Felices Los 4
2017-08-054,Midland,Drinkin' Problem
2017-08-070,Wisin Featuring Ozuna,Escapate Conmigo
2017-08-082,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
2017-09-051,Midland,Drinkin' Problem
2017-09-052,Tay-K,The Race
2017-09-053,Maluma,Felices Los 4
2017-09-054,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
2017-09-069,Wisin Featuring Ozuna,Escapate Conmigo
2017-09-089,Jacquees,B.E.D.
2017-09-096,Descendants 2 Cast,It's Goin' Down
2017-10-046,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
2017-10-054,Tay-K,The Race
2017-10-070,Wisin Featuring Ozuna,Escapate Conmigo
2017-10-072,Maluma,Felices Los 4
2017-10-073,Jacquees,B.E.D.
2017-10-093,Midland,Drinkin' Problem
2017-10-098,Bhad Bhabie,These Heaux
2017-11-047,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
2017-11-058,Tay-K,The Race
2017-11-072,Wisin Featuring Ozuna,Escapate Conmigo
2017-11-086,Jacquees,B.E.D.
2017-11-091,"Quavo, Takeoff & Offset",Too Hotty
2017-11-098,Garth Brooks,Ask Me How I Know
2017-12-015,"Migos, Nicki Minaj & Cardi B",MotorSport
2017-12-050,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
2017-12-071,Tay-K,The Race
2017-12-080,YBN Nahmir,Rubbin Off The Paint
2017-12-085,Garth Brooks,Ask Me How I Know
