billboard_id,artists,track_name
2025-01-015,Darlene Love,Christmas (Baby Please Come Home)
2025-01-040,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2025-01-048,Darlene Love,Winter Wonderland
2025-01-056,Laufey,Christmas Magic
2025-01-075,Cynthia Erivo Featuring Ariana Grande,Defying Gravity
2025-01-089,Laufey,Santa Baby
2025-01-096,Tito Double P & Peso Pluma,Dos Dias
2025-02-071,Addison Rae,Diet Pepsi
2025-02-076,Tito Double P,Rosones
2025-02-078,Tito Double P,Nadie
2025-02-080,Cynthia Erivo Featuring Ariana Grande,Defying Gravity
2025-02-081,Tito Double P & Peso Pluma,Dos Dias
2025-02-084,CHRYSTAL,The Days
2025-02-092,Central Cee Featuring 21 Savage,GBP
2025-02-093,Alphaville & Ava Max & David Guetta,Forever Young
2025-02-098,Imogen Heap,Headlock
2025-03-045,Pimmie &  PARTYNEXTDOOR & Drake,PIMMIE'S DILEMMA
2025-04-065,j-hope,Mona Lisa
2025-04-069,Aleman X Neton Vega,Te Queria Ver
2025-04-082,Tito Double P,Tattoo
2025-04-095,Imogen Heap,Headlock
2025-05-067,Aleman X Neton Vega,Te Queria Ver
2025-05-072,Forrest Frank,Your Way's Better
2025-05-081,d4vd,Feel It
2025-05-087,Addison Rae,Headphones On
2025-05-092,PLUTO & YKNIECE,Whim Whamiee
2025-05-097,Tito Double P,Tattoo
2025-05-099,JENNIE,like JENNIE
2025-06-065,MOLIY & Silent Addy & Skillibeng & Shenseea,Shake It To The Max (Fly)
2025-06-069,Forrest Frank,Your Way's Better
2025-06-075,PLUTO & YKNIECE,Whim Whamiee
2025-06-100,d4vd,Feel It
2025-07-044,MOLIY & Silent Addy & Skillibeng & Shenseea,Shake It To The Max (Fly)
2025-07-054,PLUTO & YKNIECE,Whim Whamiee
2025-07-062,Forrest Frank,Your Way's Better
2025-07-081,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Golden
2025-07-090,j-hope & GloRilla,Killin' It Girl
2025-07-094,KATSEYE,Gabriela
2025-07-098,KATSEYE,Gnarly
2025-08-002,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Golden
2025-08-019,HUNTR/X: EJAE & Audrey Nuna & REI AMI,How It's Done
2025-08-031,HUNTR/X: EJAE & Audrey Nuna & REI AMI,What It Sounds Like
2025-08-039,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Takedown
2025-08-052,MOLIY & Silent Addy & Skillibeng & Shenseea,Shake It To The Max (Fly)
2025-08-053,BLACKPINK,Jump
2025-08-076,JEONGYEON & JIHYO & CHAEYOUNG Of TWICE,Takedown
2025-08-079,Forrest Frank,Your Way's Better
2025-08-086,Clipse Featuring Kendrick Lamar,Chains & Whips
2025-08-088,PLUTO & YKNIECE,Whim Whamiee
2025-08-092,Twice,Strategy
2025-08-094,Dareyes de La Sierra,Frecuencia
2025-09-001,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Golden
2025-09-009,HUNTR/X: EJAE & Audrey Nuna & REI AMI,How It's Done
2025-09-019,HUNTR/X: EJAE & Audrey Nuna & REI AMI,What It Sounds Like
2025-09-021,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Takedown
2025-09-050,JEONGYEON & JIHYO & CHAEYOUNG Of TWICE,Takedown
2025-09-051,Twice,Strategy
2025-09-063,KATSEYE,Gabriela
2025-09-064,Forrest Frank,Your Way's Better
2025-09-072,MOLIY & Silent Addy & Skillibeng & Shenseea,Shake It To The Max (Fly)
2025-09-078,BLACKPINK,Jump
2025-09-079,Pierce the Veil,So Far So Fake
2025-09-089,Dareyes de La Sierra,Frecuencia
2025-09-091,Laufey,Lover Girl
2025-09-093,Radiohead,Let Down
2025-09-098,KATSEYE,Gnarly
2025-10-001,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Golden
2025-10-013,HUNTR/X: EJAE & Audrey Nuna & REI AMI,How It's Done
2025-10-021,HUNTR/X: EJAE & Audrey Nuna & REI AMI,What It Sounds Like
2025-10-029,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Takedown
2025-10-038,d4vd,Romantic Homicide
2025-10-056,KATSEYE,Gabriela
2025-10-068,JEONGYEON & JIHYO & CHAEYOUNG Of TWICE,Takedown
2025-10-069,Twice,Strategy
2025-11-002,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Golden
2025-11-028,HUNTR/X: EJAE & Audrey Nuna & REI AMI,How It's Done
2025-11-031,HUNTR/X: EJAE & Audrey Nuna & REI AMI,What It Sounds Like
2025-11-033,Tame Impala,Dracula
2025-11-034,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Takedown
2025-11-040,KATSEYE,Gabriela
2025-11-056,Tame Impala,My Old Ways
2025-11-069,Twice,Strategy
2025-11-071,BreSkii & YKNIECE & Metro Boomin & DJ Spinz & Quavo,Take Me Thru Dere
2025-11-074,JEONGYEON & JIHYO & CHAEYOUNG Of TWICE,Takedown
2025-11-091,Tame Impala,Loser
2025-11-092,Josiah Queen,Dusty Bibles
2025-11-093,Radiohead,Let Down
2025-11-096,MOLIY & Silent Addy & Skillibeng & Shenseea,Shake It To The Max (Fly)
2025-11-097,KATSEYE,Gnarly
2025-12-002,HUNTR/X: EJAE & Audrey Nuna & REI AMI,Golden
2025-12-025,Darlene Love,Christmas (Baby Please Come Home)
2025-12-041,KATSEYE,Gabriela
2025-12-043,Cynthia Erivo & Ariana Grande,For Good
2025-12-052,HUNTR/X: EJAE & Audrey Nuna & REI AMI,How It's Done
2025-12-056,Cynthia Erivo,No Good Deed
2025-12-067,Tame Impala,Dracula
2025-12-070,BreSkii & YKNIECE & Metro Boomin & DJ Spinz & Quavo,Take Me Thru Dere
2025-12-091,Cynthia Erivo & Jonathan Bailey,As Long As You're Mine
