billboard_id,artists,track_name
2024-01-015,Darlene Love,Christmas (Baby Please Come Home)
2024-01-033,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch"
2024-01-060,"Usher, Summer Walker & 21 Savage",Good Good
2024-01-065,Mitski,My Love Mine All Mine
2024-01-069,Kenya Grace,Strangers
2024-01-087,Chloe,Winter Wonderland
2024-01-088,Maluma & Carin Leon,Segun Quien
2024-01-099,Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
2024-02-040,Mitski,My Love Mine All Mine
2024-02-042,"Usher, Summer Walker & 21 Savage",Good Good
2024-02-045,Kenya Grace,Strangers
2024-02-061,310babii,Soak City
2024-02-073,Chayce Beckham,23
2024-02-079,Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
2024-02-088,Maluma & Carin Leon,Segun Quien
2024-02-097,Fridayy,When It Comes To You
2024-03-004,¥$: Kanye West & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival
2024-03-049,"Usher, Summer Walker & 21 Savage",Good Good
2024-03-052,BossMan Dlow,Get In With Me
2024-03-053,¥$: Kanye West & Ty Dolla $ign,Burn
2024-03-057,¥$: Kanye West & Ty Dolla $ign,Fuk Sumn
2024-03-059,¥$: Kanye West & Ty Dolla $ign,Back To Me
2024-03-062,Chayce Beckham,23
2024-03-072,310babii,Soak City
2024-03-085,¥$: Kanye West & Ty Dolla $ign Featuring Lil Durk & Bump J,Vultures
2024-03-094,¥$: Kanye West & Ty Dolla $ign,Do It
2024-03-096,¥$: Kanye West & Ty Dolla $ign Featuring North West,Talking
2024-04-001,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-04-002,"Future, Metro Boomin, Travis Scott & Playboi Carti",Type Shit
2024-04-006,"Future, Metro Boomin & Travis Scott",Cinderella
2024-04-009,"Future, Metro Boomin & The Weeknd",Young Metro
2024-04-012,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival
2024-04-038,"Future, Metro Boomin & Rick Ross",Everyday Hustle
2024-04-048,Chayce Beckham,23
2024-04-063,BossMan Dlow,Get In With Me
2024-04-064,310babii,Soak City
2024-04-093,Joyner Lucas & Jelly Roll,Best For Me
2024-05-017,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-05-043,"Future, Metro Boomin, Travis Scott & Playboi Carti",Type Shit
2024-05-052,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival
2024-05-070,"Future, Metro Boomin & Travis Scott",Cinderella
2024-05-072,Bakar Featuring Summer Walker,Hell N Back
2024-05-075,BossMan DLow,Get In With Me
2024-05-088,"Future, Metro Boomin & The Weeknd",We Still Don't Trust You
2024-05-091,Chayce Beckham,23
2024-05-095,d4vd,Feel It
2024-05-096,$uicideBoy$,Us Vs. Them
2024-05-099,310babii,Soak City
2024-06-011,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-06-040,"Future, Metro Boomin, Travis Scott & Playboi Carti",Type Shit
2024-06-059,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,Carnival
2024-06-075,BossMan DLow,Get In With Me
2024-06-086,Bakar Featuring Summer Walker,Hell N Back
2024-06-098,Shoreline Mafia Presents OhGeesy & Fenix Flexin,Heat Stick
2024-07-014,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-07-039,Central Cee & Lil Baby,BAND4BAND
2024-07-055,"Future, Metro Boomin, Travis Scott & Playboi Carti",Type Shit
2024-07-093,Bakar Featuring Summer Walker,Hell N Back
2024-08-019,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-08-051,Central Cee & Lil Baby,BAND4BAND
2024-08-057,"Eminem, Big Sean & BabyTron",Tobey
2024-08-063,"Future, Metro Boomin, Travis Scott & Playboi Carti",Type Shit
2024-08-091,Kelsea Ballerini & Noah Kahan,Cowboys Cry Too
2024-08-095,"Sevdaliza, Pabllo Vittar & Yseult",Alibi
2024-08-100,Dominic Fike,Misses
2024-09-029,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-09-034,Hanumankind X Kalmi,Big Dawgs
2024-09-063,"Drake, Young Thug & 21 Savage",It's Up
2024-09-071,Central Cee & Lil Baby,BAND4BAND
2024-10-039,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-10-056,Hanumankind X Kalmi,Big Dawgs
2024-10-088,Tito Double P & Peso Pluma,Dos Dias
2024-10-091,BossMan Dlow,Shake Dat Ass (Twerk Song)
2024-10-096,Addison Rae,Diet Pepsi
2024-11-045,"Future, Metro Boomin & Kendrick Lamar",Like That
2024-11-052,Tito Double P & Peso Pluma,Dos Dias
2024-11-054,BossMan Dlow,Shake Dat Ass (Twerk Song)
2024-11-057,Addison Rae,Diet Pepsi
2024-11-073,Tito Double P,El Lokeron
2024-11-081,KSI Featuring Trippie Redd,Thick Of It
2024-11-083,Hanumankind X Kalmi,Big Dawgs
2024-11-099,Jennie,Mantra
2024-12-044,Cynthia Erivo Featuring Ariana Grande,Defying Gravity
2024-12-075,Tito Double P & Peso Pluma,Dos Dias
2024-12-089,Addison Rae,Diet Pepsi
2024-12-092,BossMan Dlow,Shake Dat Ass (Twerk Song)
2024-12-093,Cynthia Erivo Featuring Michelle Yeoh,The Wizard And I
2024-12-094,Cynthia Erivo,I'm Not That Girl
2024-12-095,Stromae & Pomme,Ma Meilleure Ennemie
