billboard_id,artists,track_name
2019-01-043,Darlene Love,Christmas (Baby Please Come Home)
2019-01-069,Pardison Fontaine Featuring Cardi B,Backin' It Up
2019-01-085,Jacquees,You
2019-01-092,Anuel AA & Romeo Santos,Ella Quiere Beber
2019-02-033,Gesaffelstein & The Weeknd,Lost In The Fire
2019-02-068,Anuel AA & Karol G,Secreto
2019-02-085,Loud Luxury Featuring Brando,Body
2019-02-098,Hikaru Utada & Skrillex,Face My Fears
2019-03-081,Kelsea Ballerini,Miss Me More
2019-03-083,Midland,Burn Out
2019-03-094,Alec Benjamin + Alessia Cara,Let Me Down Slowly
2019-04-061,FLETCHER,Undrunk
2019-04-090,Pedro Capo X Farruko,Calma
2019-04-097,Mabel,Don't Call Me Up
2019-05-051,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle
2019-05-086,BLACKPINK,Kill This Love
2019-06-076,"Lunay, Daddy Yankee & Bad Bunny",Soltera
2019-06-092,"YG, Tyga & Jon Z",Go Loko
2019-07-078,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again
2019-07-083,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago
2019-07-085,Bryce Vine Featuring YG,La La Land
2019-08-052,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China
2019-08-076,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Brown Skin Girl
2019-08-077,Y2K & bbno$,Lalala
2019-08-088,"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun
2019-08-090,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva
2019-09-100,Runaway June,Buy My Own Drinks
2019-10-086,"Tainy, Anuel AA & Ozuna",Adicto
2019-11-077,"Layton Greene, Lil Baby, City Girls & PnB Rock",Leave Em Alone
2019-12-058,Trippie Redd,Who Needs Love
2019-12-059,Trippie Redd Featuring DaBaby,Death
2019-12-060,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss
2019-12-081,Trippie Redd,Love Me More
2019-12-084,Trippie Redd Featuring YoungBoy Never Broke Again,Hate Me
2019-12-094,DaniLeigh Featuring Chris Brown,Easy
